Category,Credits,Id,Description,Title
PRTO,3,1000,"This is the introductory course for Carroll School of Management's first year students. Topics will include ethics, leadership, globalization, economic development, capitalism, innovation, entrepreneurship, vocational discernment, and the functional areas of business.  This will be an interactive three-credit seminar, serving as one of the five courses in the fall semester and fulfilling the ethics requirement for the Carroll School.  The instructor will serve as academic advisor during the student's first year.",Portico 
HIST,3,1001,"The course focuses on Europe and the world from the Black Death through the Haitian Revolution. Topics covered in the course include the Black Death and Renaissance, European expansion across the Atlantic and Indian Oceans, Europe and the Ottoman Turks, religious reformation and warfare, early capitalism and transatlantic slavery, early modern science and the Enlightenment, and the French and Haitian Revolutions.",Europe in the World I 
ADTH,4,1002,"An introduction to the literature, religious ideas, and historical settings of the New Testament. Focus is on major biblical concepts such as Christology, ecclesiology, grace, election, and ethics in the Gospels, the Pauline epistles, the Acts of the Apostles, and other canonical books.",Biblical Heritage II: New Testament 
SLAV,1,1003,TBD,Slavic Workshop 
MATH,3,1004,"This course, for students in the humanities, the social sciences, School of Education, and School of Nursing, is an introduction to finite combinatorics and probability, emphasizing applications. Topics include finite sets and partitions, enumeration, probability, expectation, and random variables.",Finite Probability and Applications 
SPAN,3,1005,"This two-course sequence covers in six weeks the first and second semesters of a full-year elementary Spanish course.  A practical knowledge of the Spanish language as spoken by native speakers will be developed in five areas: listening, speaking, reading, writing, and cultural competence.  Specific objectives include attaining at least a novice high level of oral proficiency.  Because this is an intensive course, daily homework assignments, regular attendance and class participation are essential.",Intensive Beginning Spanish I 
HIST,3,1006,"This course examines Asia in the shaping of the modern world, from competing definitions of empires circa 1800 to the rise of the notion of the twenty-first century as a ""Pacific Century."" It investigates the definition(s) of Asia as a world region, explores transnational interactions, and emphasizes Asians as historical actors via written, visual, and aural sources. Events are placed in the context of key historical paradigms, including varying definitions of modernity, the rise of the nation-state, the birth of mass politics, new mechanisms of war, the language of self-determination, changing views of gender, shifting types of media/consumption, etc.",Asia in the World II 
MATH,3,1007,"This course is designed to introduce the student to the spirit, beauty, and vitality of mathematics. The emphasis is on development of ideas rather than problem solving skills. Topics vary, but are typically chosen from diverse areas such as geometry, number theory, computation, and graph theory.",Ideas in Mathematics 
CSCI,0,1008,,Discussion Group/CSCI1101 
CSCI,0,1009,,Discussion Group 
