Course Title,Course Description,Course Areas,Course Id
 Legal & Ethical Environment of Business*,"GB110 Legal & Ethical Environment of Business* Prerequisite(s): Class Code (CC) 1Note: *Available starting in Fall 2009Provides an overview of the legal and ethical issues that confront business managers and executives in both starting a business and operating an existing business. Provides an analytical framework to identify legal and ethical issues. Discusses the relationship between business professionals and legal counsel. Discusses topics in contracts, sales, torts, crimes, securities law and Sarbanes-Oxley, business organizations, employment and discrimination and E-commerce. Interweaves international and ethical issues into the topics covered. Includes team assignments where appropriate. ",GB,GB110
 Tools & Concepts in Accounting & Finance*,GB112 Tools & Concepts in Accounting & Finance* Prerequisite(s): CC1Note: *Available starting Fall 2009The primary objective of this course is to provide a foundational understanding of accounting and finance concepts and tools.  This course takes students from double-entry accounting through to an elementary understanding of how to construct financial statements. It introduces the use of these statements as the basis for ratio analysis and budgeting.  Students begin their study of the basic time value of money concepts that are the foundation for basic valuation techniques for both financial securities and projects valuation. ,GB,GB112
 Practice & Applications in Accounting & Finance*,GB212 Practice & Applications in Accounting & Finance* Prerequisite(s): GB 110 and GB 112Note: *Available starting in Fall 2010The primary objective of this course is to extend the foundational understanding of accounting and finance concepts and tools introduced in GB112.  This course takes students from an elementary understanding of the prepared financial statements and introduces how to use them in financial decision-making. It covers the analysis of these statements using ratio analysis and the budgeting process using these statements as a starting point for future forecasts.  Students will study the funding decisions facing the firm. They will extend their understanding of basic valuation techniques by learning more advanced techniques for valuing both the securities used to raise these funds and the projects to be funded. ,GB,GB212
 Business Statistics,"GB213 Business Statistics Prerequisite(s): IT 101 & GB 112 & Sophomore standingPre or Corequisite(s): Math IIModern businesses rely on well-educated professionals who can effectively use data to enhance and support decision-making processes. The primary objective of this course is to use data to illustrate key concepts for making decisions throughout each of the primary business disciplines; accounting, economics, finance, information systems, management, and marketing. Focuses on learning skill sets necessary to access and manipulate large amounts of data and the techniques that enhance the individuals' decision-making process. Introduces some elementary Microsoft Access methods for transferring a sample of data from a database into Microsoft Excel. Illustrates how to make effective decisions using simple and multiple regression models. Provides balanced presentations illustrating the manual use of statistical techniques for understanding purposes and how to implement those techniques using the computer. ",GB,GB213
 Marketing-Operations Fundamentals*,"GB214 Marketing-Operations Fundamentals* Prerequisite(s): Class Code 3Note: *Available starting in Fall 2010Strategic competitive advantage is derived from the value a company creates for its customers through five primary value-adding activities: Designing products and services, logistics, operations, marketing and sales strategies, and bringing products and services to the market to meet customer needs and requirements. Most of these activities fall within the boundaries of operations and marketing, the two primary value adding functions within organizations. This course, therefore, covers topics that span the marketing and operational disciplines, and focuses on the fundamental concepts and processes of marketing and operations management and how effective coordination and the interface between these two primary functional areas create value for the customer, the company, and society at large. ",GB,GB214
 Human Behavior & Organizations*,"GB215 Human Behavior & Organizations* Prerequisite(s): Class Code 3Note: *Available starting in Fall 2010Human Behavior and Organizations examines the behavior of people in organizations and the relationship between this behavior and organizational effectiveness. Particular attention is given to the issues and dynamics that result from the increasing diversity of the workforce and the global contexts in which people work. The course introduces students to analytical frameworks for understanding and influencing individual, group, inter-group and total organization dynamics. It increases students' awareness of and competence in dealing with people different from themselves. Through case studies, self-reflection instruments, experiential exercises, lectures and readings students develop knowledge and skills for working effectively with a diverse set of people in complex environments, diagnosing managerial problems and developing effective plans for action, taking into account the impact of external stakeholders on internal organizational dynamics. ",GB,GB215
 Business Processes & Systems,"GB310 Business Processes & Systems Prerequisite(s): GB 212, GB 213, GB214This course introduces students to the concept of a business as an integrated set of business processes and associated systems designed to deliver value to customers.  Hands-on experience with SAP, a market leading enterprise system, will demonstrate how information systems can be used to support and improve business processes.  Hands-on experience with a process modeling application will demonstrate how information technology can be used to model, analyze, and simulate typical business processes.  Learning about emerging technologies and basic infrastructure concepts will enable students to envision creative IT solutions to business problems.  Throughout the course, students will be learning how people, processes, and systems can be integrated most effectively to achieve organizational objectives. ",GB,GB310
 Integrated Business Project,"GB320 Integrated Business Project Prerequisite(s): GB 212 & GB 213 & GB 214 & GB 215 & Junior StandingIn this course, students work on a project team to solve real world problems for real organizations. The project enables students to develop a better understanding of how the traditional business functions are integrated in the workplace. Students review key principles in accounting, business processes, finance, management, marketing and operations within the context of project management.  They will analyze the problem facing the client company, develop and evaluate a set of alternative solutions and present a program of recommendations to the sponsoring organization at the end of the semester. The project enables teams to analyze real firms' potential to introduce new goods and/or services, introduce existing goods and/or services to new markets, and/or develop other growth opportunities, as well as to present a business proposal. ",GB,GB320
 Global Strategy,"GB410 Global Strategy Prerequisite(s): GB 310 & (Corequisite or Prerequisite GB 320)Global strategy focuses on the role of the general manager or top management team in formulating and implementing short and long-term business and corporate level strategies. In business, strategy is formulated in a multi-faceted, international environment of social, political, economic, and legal entities. In global strategy students will be analyzing the internal and external environments of the organization, formulating recommendations with respect to actions firms can take to enhance firm-level performance and sustainable competitive advantage, and suggesting ways in which those actions can be implemented which recognizing the critical long and short-term implications of their recommendations for the total enterprise. ",GB,GB410
 Cost Management,"AC310 Cost Management Prerequisite(s): GB 202 or GB 212Introduces the concepts of cost management and strategic cost management. Presents comprehensive coverage of principles involved in the determination of the cost of a product or service. Covers operational budgeting, standard costing, and activity-based costing as tools for planning and control. Emphasizes analysis, interpretation and presentation of information for management decision making purposes, especially those decisions as they relate to cost management. ",AC,AC310
