Info,Course Title,Course Description,Credits,Course Number
"Course Chair:     Andrea Pejrolo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     CWPR and JCMP majors  
Electable by:     All  
Prerequisites:     AR-111 and HR-112  
Department Code:     CWP  
",Arranging 2,"In this course, students study the properties of the trumpet, alto saxophone, tenor saxophone, trombone, and baritone saxophone. Students also explore the writing and arranging processes of standard and spread voicings, as well as approach techniques, melodic embellishment, and guide tone backgrounds. Students apply the writing processes to soli and background writing for two-, three-, four-, and five-part combinations of these instruments. It is recommended that CW-171 be taken by CWPR majors prior to enrolling in AR-112.",2 credit(s),AR-112
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring, Summer  
Required of:     JCMP majors  
Electable by:     All  
Prerequisites:     None  
Department Code:     JCMP  
",Survey of Jazz Composition and Arranging," A comprehensive study of the evolution of jazz arranging and composition from the 1920s to the present. Score analysis of representative works by Fletcher Henderson, Duke Ellington, Gil Evans, Thad Jones, and others. Extensive listening. Written arrangements not required. ",2 credit(s),AR-228
"Course Chair:     Cecil Adderley  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     CM-212 or CM-252  
Department Code:     MUED  
",Arranging for Secondary Vocal Ensemble,"This course analyzes arranging for high school vocal groups. Students explore principles of part-writing for various combinations of voices, as well as writing piano accompaniments. Students apply these principles to their own arranging projects.",2 credit(s),AR-314
"Course Chair:     Eric Gould  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     CM-371  
Department Code:     JCMP  
",Contemporary Arranging and Composition,"Development of individual writing creativity. Emphasis on the building of confidence in writing clear, memorable lead lines based on standard song forms. Discussions on the relationship of speech patterns to melody. Individual conferences with the instructor when necessary. Written projects required.",2 credit(s),AR-321
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring, Summer  
Required of:     JCMP majors  
Electable by:     All  
Prerequisites:     AR-201, AR-228, and HR-212  
Department Code:     JCMP  
",Big Band Arranging and Score Analysis, Methodology of big band arranging. Analysis of scores by classic and contemporary big band arrangers. Library assignments and class discussion. Written arrangements and score analysis projects required. ,2 credit(s),AR-331
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring  
Required of:     None  
Electable by:     All  
Prerequisites:     AR-331 and CM-371  
Department Code:     JCMP  
",Advanced Jazz Arranging for Large Ensemble,Extended applications of standard big band scoring techniques. Analysis of devices found in the compositions of major jazz writers.,2 credit(s),AR-407
"Course Chair:     Andrea Pejrolo  
Semesters Offered:     Fall, Spring, Summer  
Required of:     All  
Electable by:     All  
Prerequisites:     PW-111 or satisfactory placement score  
Department Code:     CWP  
",Arranging 1,"This course is a study of the musical concepts of melody, rhythm, harmony, and form as applied to the principles and techniques of writing and arranging for the rhythm section (drums, bass, guitar, keyboards, basic percussion). Students also study lead-lines for solo instruments, two horns (trumpet plus alto or tenor saxophone), and/or voice. Students focus on the conceptual process of combining individual components to create a musically satisfying arrangement. Students explore of the use and integration of MIDI technology and sequencing as they relate to rhythm section and lead-line writing. Students also study various contemporary musical styles and the musical concepts that comprise them, including writing from the ""bottom up"" (groove-driven) and ""top down"" (working with a melody in a lead instrument or voice). Students complete writing assignments that incorporate combinations of acoustic, electronic, and MIDI instruments.",2 credit(s),AR-111
"Course Chair:     Eric Gould  
Semesters Offered:     Fall, Spring, Summer  
Required of:     JCMP majors  
Electable by:     All  
Prerequisites:     AR-112 and HR-211  
Department Code:     JCMP  
",Chord Scale Voicings for Arranging,"Five- and six-part writing for instruments. Application of voicings in seconds, thirds, and fourths. Upper-structure triads, clusters, and other nonmechanical voicings derived from chord scales. Extensive score analysis.",2 credit(s),AR-201
"Course Chair:     Cecil Adderley  
Semesters Offered:     Fall Only  
Required of:     None  
Electable by:     All  
Prerequisites:     CM-212 or both CM-252 and CP-210 or CP-212  
Department Code:     MUED  
",Scoring for Instrumental Ensembles in the Secondary School,"This course analyzes orchestration for wind, string, and percussion groups as used at the secondary school level. Students explore principles of score layout and arranging for concert band and high school orchestra. Students apply this principles to the scores they create for instrumental ensembles at the secondary school level.",2 credit(s),AR-313
"Course Chair:     Cecil Adderley  
Semesters Offered:     Spring Only  
Required of:     None  
Electable by:     All  
Prerequisites:     AR-112  
Department Code:     MUED  
",Arranging for High School Jazz Ensemble,This course explores principles of writing and arranging for high school jazz ensembles with standard and mixed instrumentation. Students examine range problems and rhythm section parts. They also give special consideration to creating arrangements for high school musicians. Students examine and analyze existing published scores. Students apply the concepts of the course to their own arranging projects.,2 credit(s),AR-316
