department,description,title
Academic Achievement Center,"This course introduces new students to strategic learning techniques focusing on effective use of prior knowledge and targeted strategies to advance and optimize their learning in college.Students actively integrate and apply various study skills, learning strategies, active reading/note-taking, time management and organization skills learned in this course to their other courses throughout the semester.This is the first of a two semester experience.",AAC101 - The Learning Process
Academic Achievement Center,"This continues to support new students with reinforcing strategic learning techniques focusing on effective use of prior knowledge and targeted strategies to advance and optimize their learning in college.Students actively integrate and apply various study skills, learning strategies, active reading/note-taking, time management and organization skills learned in this course to their other courses throughout the semester.This is the second of a two semester experience.",AAC102 - The Learning Process
Academic Achievement Center,"This course supports returning students with strategic learning techniques to promote a successful academic semester. Students practice targeted strategies to advance and optimize their learning experience while completing course requirements.Students actively integrate and apply various study skills, learning strategies, active reading/note-taking, time management and organization skills learned in this course to their other courses throughout the semester.",AAC103 - Academic Achievement Center
Anthropology,"Anthropology offers the student a cross-cultural, comparative perspective on the human condition. In this course, students explore the varieties of ways in which human societies are organized. The five sub-disciplines of anthropology are introduced: cultural, biological or physical, archaeological, linguistic, and applied. Students gain an appreciation for the unique perspective of anthropology, including how anthropologists conduct fieldwork and contributions anthropology can make to effect social change. The aim of this course is to provide an overview of the field of anthropology, and to teach the student how to think systematically about how social groups work and how to understand human behavior in its cultural context.",ANTH101 - Principles of Anthropology
Anthropology,"Thiscourse considers the morphological, behavioral and life history features that distinguish the primates from other mammals, and the hominoids from other primates. We begin with an overview of the primates and their behavioral ecology, and then explore in detail the adaptations of each of the major groups of extant primates.Finally, we apply our knowledge of morphology and behavioral patterns in living primates to the fossil record.",ANTH103 - Human Origins
Anthropology,"This course serves as an introduction to folklore and folklife, the ways that individuals, families and communities express themselves, their beliefs, and their values within their own culture. It emphasizes the understanding of meaning revealed in the full range of folkloristic genres: oral literature such as the tales, sayings and poetry; material culture, the individual skills and techniques displayed by craftspeople and artists and the products resulting from their application; the social customs of rites of passage and festivals; and the aesthetically subtle performing folk arts such as singing and dancing. The primary focus of the course for each student is the folklore and folklife of his or her own family and/or a Lasell Village elder's family and community, which is documented in archive-ready format and organized in a personal report of Family Folklore. Class activities are designed to get at the ""feel"" of folklore and folklife.",ANTH210 - Folklore & Folklife
Anthropology,"This course examines special topics from the perspective of anthropology, looking at the diversity of forms that cultures have adopted to deal with human concerns. Its purpose is to allow faculty and students to explore issues that meet special interests but which may not be offered on a regular basis.Courses could be offered at the 200, 300, or 400 levels, depending on the level of work to be required and the number of prerequisites for the course.",ANTH212 - Special Topics in Anthropology
Anthropology,"This course focuses on the encounter of the anthropologist and the filmmaker with that of his or her subjects and deals with issues of cultural perspective, gender, power, and authorship.Through the film screenings, lectures, ethnographies, theoretical readings, classroom discussions and the creation of their own documentary film, students develop a critical perspective for viewing films, videos, and television presentation and representation of different peoples and cultures.Students learn the fundamentals of viewing and undertaking ethnography, screenwriting, working with a digital camera, and editing. A key course objective is for students to acquire the basic skills to create visually interesting artistic statements through film that are a meta-commentary on contemporary youth culture.",ANTH213 - Visual Anthropology
Anthropology,"This course considers the history and development of anthropological, ethnographic, and trans-cultural filmmaking.It is an in-depth examination of important anthropological films in terms of content, methodology, techniques, and strategies of expression such as the storyline, themes, editing, inter-titles, narration, voice-over, dialogue, subtitles, style (artistic and aesthetic sensibilities,) accuracy, and film truth. Through the film screenings, lectures, theoretical readings, classroom discussions and the creation of their own documentary short film, students develop a critical perspective for viewing films, videos, television presentation, and representation of different peoples and cultures.",ANTH214 - Documentary Film for Social Change
Anthropology,"This course examines special topics from the perspective of anthropology, looking at the diversity of forms that cultures have adopted to deal with human concerns. Its purpose is to allow faculty and students to explore issues that meet special interests but which may not be offered on a regular basis.Courses could be offered at the 200, 300, or 400 levels, depending on the level of work to be required and the number of prerequisites for the course.",ANTH312 - Special Topics in Anthropology
