description,title,Notes,Cross Listed Courses,credits,college,Corequisite,department,Prerequisite
"This course will introduce students to the medium of animation as an art form, expose them to its wide range of aesthetic possibilities, and teach them the twelve principles and techniques of animation and some basics of filmmaking. Class projects will focus on easy-to-manipulate mediums, like clay, cut-paper, puppets and found objects. A number of classes will focus on experimental animation where students will be working with paint, collage, sand and photographs within non-narrative structures.",IANIM 1250 Principles of Animation I,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course introduces digital tools to the animation process. Students bring the techniques taught in Principles of Animation I to the digital realm, and explore both 2D and 3D animation tools. Through projects and assignments, the course covers the tools necessary to create exciting animations while introducing a digital workflow.",IANIM 1260 Principles of Animation II,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course focuses on the creation of a short animated film. Students bring their ideas, and the will cover the twelve principles of animation, as well as filmmaking, conceptual thinking, story boarding, story structures, animatics, character design and lip-syncing. Each week, you will work toward finishing your animated film, presenting a complete piece with sound at the end of the semester.",IANIM 1300 Animation Seminar,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
,IANIM xxxx Anime: Roots to Modern Day,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course emphasizes the pre-production and planning process of making an animated film. Students will explore different types of story-telling, using storyboards and pencil tests to experiment with different forms of narrative. We will build your conceptual development skills in order to create the foundation for a successful and exciting project. At the end of the semester, you will be ready to make a complex animation in Sophomore Seminar II.",IANIM 2110 Sophomore Seminar I,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course builds on the conceptual development and storytelling of Sophomore Seminar I. Students will create a short animated piece based on their pre-production work, using the class as a resource for discussion and critique, as well as demonstrations of a wide variety of technical and conceptual tools that expand and enhance your project. At the end of the semester, you will present a final animation that reflects your process and skills as an animator.",IANIM 2120 Sophomore Seminar II,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course includes drawing the dynamic structure of human and animal figures and other lively objects, from the initial quick execution in sequential key poses through a series of revisions. Characters are designed in precisely drawn model sheets, and figures and backgrounds are composed in meaningful, dynamic cinematic sequences expressed in storyboards, from rough to polished.",IANIM 2470 Drawing for Animation,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course includes drawing the dynamic structure of human and animal figures, and other lively objects, from the initial quick execution in sequential key poses through a series of revisions. Characters are designed in precisely drawn model sheets, and figures and backgrounds are composed in meaningful, dynamic cinematic sequences, expressed in storyboards, from rough to polished.",IANIM 2480 Animation Basics,,,3,College of Art and Design,,IANIM - Animation / Motion Media,IANIM 1250 or IANIM 1260 
"Animation Basics II covers more advanced animation techniques, especially for drawn figure animation, including use of exposure sheets, moving backgrounds, digital ink, and paint. It also covers production of short, animated pieces from cinematically meaningful storyboards.",IANIM 2490 Character Animation,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"In this course, students become familiar with Procreate Painter and Adobe After Effects. Adobe Premiere and Avid Elastic Reality are also used. Together, these programs offer a powerful set of tools to facilitate the creation of a variety of -D animation, whether based on digital video, drawing, or both.",IANIM 2495 Digital Animation: 2D,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"Experimental Motion Media introduces majors and non-animation students to the cornucopia of animation techniques available to impart the dimension of motion to their artwork. Animation here is a means of creating paintings that move, or music that is purely visual. There is a long history of using animation to produce fine art or experimental film. The animated works of Dada artists like Hans Richter, Viking Eggling, and Walter Ruttman; and the works of modernists like Oscar Fischinger, Len Lye, Robert Breer, Paul Glabiki, as well as contemporary animators are viewed.",IANIM 2500 Experimental Motion Media,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"Video I is an introductory (yet intensive) course teaching skills, technology and aesthetics that comprise the realm of video production. Students will learn by watching demonstrated techniques and classroom video screenings with discussion. There will be extensive hands-on experience in the operation and handling of DV camcorders, sound recorders, mics, lighting and editing using Final Cut Pro. Each Student will complete a final video project working thru all phases of production from script to screening.",IANIM 2570 Video I,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course will explore the concept of animation as fine art, using fine arts practices and principals to create the illusion of movement and action. Students will explore adventurous techniques and mediums such as, but no limited to, scratch film, motion painting, chalk board animation, pixilation, and paper cut out. Students will face conceptual and aesthetic challenges that they will be asked to work through and find solutions to. Lessons will be enriched through film screenings and in-depth class discussions. All majors are encouraged.",IANIM 2600 Experimental Animation,,,1.5,College of Art and Design,,IANIM - Animation / Motion Media,
"Toys, Props & Products is a course that explores how we think about physical objects. This course will consider industry, culture, markets and studio practice culminating in a complete ready for market toy, prop, or product. Students will be taught how to utilize simple 3D software, as well as a 3D printer to manufacture a prototype. Students will approach this process in a collaborative manner: brainstorming ideas, markets, production, promotion and funding. Each student or group of students will choose a toy, prop, product or line of the aforementioned to develop from sketch to specs to mock up; research and build a shared list of manufacturers and materials, and markets to approach with their developed ideas and mock-ups","IANIM 3600 Toys, Props & Production",,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course introduces students to creating 2D games. At a conceptual level, students will examine the whole game building process, including game design, architecture of a game engine, asset creation, and level design. Students will explore some programming by creating an application using Processing (a high level programming environment for artists), design levels, and create all art and sound assets for a 2D side scroller game for the iPhone.",IANIM 3100 Game Production I,,,3,College of Art and Design,,IANIM - Animation / Motion Media,Students should have basic Photoshop knowledge and/or other extensive computer experience.
The course teaches the skills necessary to create appealing and visually distinctive characters for the illustration/animation industry. It utilizes the visual techniques and psychological knowledge to invent and refine professional character designs.,IANIM 3265 Character Design,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course explores various techniques of 3D animation, including clay, objects, puppets, and the animation of people (pixilation). The history and aesthetics of this genre are also examined. Students produce short 3D experiments.",IANIM 3450 Stop Motion Animation,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"In this course, students become familiar with Procreate Painter and Adobe After Effects. Adobe Premiere and Avid Elastic Reality are also used. Together, these programs offer a powerful set of tools to facilitate the creation of a variety of D animation, whether based on digital video, drawing, or both.",IANIM 3490 Digital Animation: 2D,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"This course is an introduction to 3D vector-drawn modeling and animation in the program Autodesk Maya. Basic techniques of modeling, lighting, texture mapping, and animation are covered. This powerful application allows the student to create hyper-realistic virtual worlds, which can be navigated with ease.",IANIM 3495 Digital Animation: 3D,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"The course introduces student animators to story-telling and non-narrative structures in animation and cinema, expressed in written treatments, drawings, storyboards, and animatics. Creation of character personalities and their dramatic environment is also covered. Overall, the course explores methods of provoking the imagination and considers the essential ingredients for producing fresh work, be it lively or thoughtful.",IANIM 3500 Junior Seminar,,,3,College of Art and Design,,IANIM - Animation / Motion Media,
"Promotional Video and Animation is an intensive course that covers the aesthetic and technical skills needed for the production of the short video form, specifically the video promo. In this course, students should gain a thorough understanding and working knowledge of the various elements that are required to create a compelling promotional video or animation. Students will work on collaborative team projects as well as on personal projects. Work may be produced in live-action video and/or animation. Students will view and analyze TV commercials, motivational videos, PSAs, promotional videos, and videos on You Tube. They will learn about the concept creation of successful, compelling video promos; and about professional techniques and tips to create more professional looking and sounding video and animated presentations.",IANIM 3560 Promotional Motion Media,Students should have a working knowledge of advanced cameras and video editing software.,,3,College of Art and Design,,IANIM - Animation / Motion Media,
