Category,Credits,Id,Description,Title
ACC,    3,2013,"Introduction to basic financial accounting principles for a business enterprise.  Topics include the accounting cycle, analyzing business transactions, measuring income, evaluating financial reporting and analysis, recording of merchandising operations, accounting of inventories, cash, receivables, current liabilities, and the time value of money.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate 

Schedule Types: Lecture


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Sophomore",Introduction to Financial Accounting
ACC,    3,2023,"Provides an overview of accounting information and the skills necessary to appraise and manage a business. Covers several current accounting topics to provide an understanding of how managers use accounting information to plan operations, control activities, and make decisions. Topics covered include product costing, cost behavior analysis, and budgeting.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate 

Schedule Types: Lecture 


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Sophomore",Intro to Managerial Accounting
ACC,    3,2053,"In-depth study of the tax requirements imposed upon the
employed individual by the federal, state, and city
governments.  Filing requirements, rates, types of
return options available to individuals, estimated taxes,
withholding requirements, personal deductions and
exemptions, capital gains considerations and other
material of concern to the employed individual.
Lecture 3 hours.  3 hours credit


    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate, Undergraduate, Undergraduate 

Schedule Types: Lecture 


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Sophomore",Individual Income Tax
ACC,    3,3013,"Managerial Accounting is concerned with providing information to managers  those inside an organization who direct and control its operations.  Topics covered include investments, long-term liabilities, cost accounting, profit planning, the Balanced Scorecard, flexible budgets, overhead analysis, capital budgeting decisions, financial statement analysis, and profitability analysis.  The impact of Sarbanes-Oxley, Six Sigma, and Lean production will be covered in addition to best practices within the service sector.  Emphasis is on the role of accounting within an organization supporting decision making, planning and control rather than the tabulation of historical financial results covered in financial accounting.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate, Undergraduate, Undergraduate 

Schedule Types: Up to 24% course online, 25%-49% course online, 50%-74% course online, 75%-99% course online, 100% course online, Lecture 


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Junior",Managerial Accounting
ACC,    3,3023,"A comprehensive study of accounting principles and theory aimed at a deeper understanding of the meaning and significance of business entity financial statements as they relate to accounting for assets.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate 

Schedule Types: Lecture 


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Junior",Intermediate Accounting 1: Assets
ACC,    3,3033,"A comprehensive study of accounting principles and theory aimed at a deeper understanding of the meaning and significance of business entity financial statements as they relate to accounting for equities.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate 

Schedule Types: Lecture


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Junior",Intermediate Accounting 2: Equities
ACC,    3,3053,"In-depth study of the tax requirements imposed upon the employed individual by the federal, state, and city governments. Filing requirements, rates, types of return options available to individuals, estimated taxes, withholding requirements, personal deductions and exemptions, capital gains considerations and other material of concern to the employed individual.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate 

Schedule Types: Lecture 


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Junior",Individual Income Tax
ACC,    3,4013,"A study of accounting information systems for external reporting and management control. Attention is directed toward providing an understanding of the integration  of computerization into business accounting systems and an understanding of internal controls.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate 

Schedule Types: Lecture 


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Senior",Accounting Information Systems
ACC,    3,4033,"An introduction to auditing and the public accounting profession. Emphasis on the study of generally accepted auditing standards and the theory of auditing and the methods and procedures used by the independent accountant to obtain the necessary evidence upon which to base an opinion regarding the fairness of presentation of the financial statements.

    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate 

Schedule Types: Lecture 


Academic Division

Management - Undergraduate Department


Course Attributes: Mgmt - Senior",Principles of Auditing
ACC,    3,4093,"Under the guidance of a faculty member, students conduct
an intensive investigation of a topic within the field of
accounting.  A written proposal is required for approval.
Projects typically include library research, interviews with
operating and/or staff managers, and other requirements
appropriate to the topic.  One of the products of this
project is a report.  3 hours credit


    3.000 Credit hours

    3.000   Lecture hours


Levels: Undergraduate, Undergraduate, Undergraduate, Undergraduate 

Schedule Types: Independent Study 


Academic Division

Humanities, Soc Sci, Comm Department


Course Attributes: Arts - Senior",Independent Study in Acctg
