category,credits,link,description,title
Other Courses,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5575,"This travel course will provide students with a comprehensive overview of the magnitude ofViennas impact on the development of Western cultural and social history. Emphasis will beattached to the major musical, artistic, literary and political figures who shaped the cityslegacy, and visits with prominent artists, professors and musicians will be an integral partof the stay in Vienna.",LASS316 Vienna: Glories & Paradoxes .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4505,"An introduction to the fundamental principles of expression through movement in time, sequential composition, editing, and integration of image sequences and sound. A series of short projects will apply basic animation principles. Presentations and projects involve simple phenomena of cycles, transformations, transitions, sequential structure and the expression of emotional and kinetic states. The use of digital still and video cameras is introduced, as well as sound integration, editing and story structure using current digital software combined with traditional techniques.",CDAN200 Animation 1 .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4507,"Drawing for Animators will build drawn animation skills through in-class exercises and related assignments. Students will animate all their work on paper using a variety of dry and wet media. They will gain knowledge of the physics of motion, squash and stretch, time-based blurring, perspective in motion, kinesthesia, and the use of light and shadow. Observational skills will be enhanced by using a live model, and by analyzing live-action footage and exemplary animation.",CDAN202 Drawing for Animators .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4508,"This course serves as an introduction to various alternative animation techniques, with emphasis on how an individual animation artist might innovate ways to integrate continually emerging digital tools into his or her work. Software applications such as Photoshop, Final Cut Pro, Flash, Illustrator and After Effects are introduced and incorporated into assignments that include old-school animation devices and techniques such as Zoetropes, flipbooks, rotoscoping and multi-plane shooting. Additionally, Mini-DV, and digital still cameras, along with digital audio recorders are introduced. A semester-long, image-based digital animation will be produced, along with numerous shorter assignments. There will be portions of class time made available for workshop.",CDAN203 The Digital Toolbox .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4509,"This course will explore how concepts and creative project solutions can be further articulated through an expanded use of digital software and media. Toolbox Two will build on principles and techniques introduced in Digital Toolbox. Students will work on project-based assignments that require use of both 2D and 3D software. Through screened examples, workshops, visiting lecturers, critiques, and trial and error, participants will gain familiarity with problem-solving strategies and inventive use of digital resources in animation.",CDAN207 Toolbox II .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5580,"An introductory exploration to the application of a range of fine art materials with a focus onwater-based media. Through demonstrations, in-class exercises and comparative assignments,students build technical skills and increase knowledge of color, form, space, light andcomposition in applied problems.",CDAN212 Design for Animators I .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5578,"Course Description: An exploration of the human figure covering basic human anatomy, traditionalobservational figure techniques including form, light and shadow. There will also be work on thebody in motion with a focus on gesture, pushing poses and honing a students ability to observeand recognize both pose and motion quickly and accurately. This will be accomplished with bothformal techniques in drawing and experimental observational techniques using a variety of media.",CDAN213 Human Figure in Animation .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5581,"Stop-motion animation covers a vast array of techniques, skills and history.We will discover underlying common principles through screenings, demonstrations and exercises.Since students dont have access to the 300 person, three year production schedule that astop-motion feature requires, we will learn effective strategies to make more with less. Mostassignments will require students to isolate production elements and explore multiple paths tosolutions. Emphasis here will not be on product, but on process. Therefore it will be expectedthat various paths may reveal failed strategies. The point will be to gain broad experiencerapidly. It is expected that students will learn skills needed to produce expressive and engagingstop-motion animated pieces.",CDAN215 Stop Motion Animation I .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=5579,"The study of the human figure emphasizing observational response to movement, form, lightand shadow, expression, and concepts of pictorial space.",CDAN217 Life Drawing .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4510,"A study of the use and dynamics of the character in animation. Through screenings, guest lecturers, workshops, critiques, design, performance and animation exercises, students will explore the fundamentals of character animation. Course emphasis is on 2D formats, although there may be some 3D content mixed in.",CDAN300 Character Animation .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4511,"Animation II will introduce students to various mixed media approaches to animation design. Students will learn strategies enabling them to complete several short animated films within a single semester. They will be instructed in numerous elements necessary to create an independently authored animated film, including the concept of unity, advanced camera techniques, and the language of the cinema. Further emphasis will be placed on experimentation, auteurism, and expressionistic use of materials. There will be regular screenings of exemplary animation and regular classroom critiques.",CDAN301 Animation II .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4512,"Animation III is a course that focuses on various narrative forms for animated short films. A wide range of exercises are employed to address issues of both content and form, such as: creating an animated film by utilizing documentary audio or found sound, interpreting an existing work of poetry, adapting a news article, and translating a theatrical script into a visual storyboard. Students are expected to work both individually and collaboratively.",CDAN302 Animation III .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4513,"Soundtracks for motion pictures are possibly the least noticed element, yet provide the strongest cues to the viewers emotional response. This course will enhance the students understanding of the power of sound as well as providing the vocabulary to make meaningful aural decisions. Students will create audio pieces that stand alone and later synchronize them with animation.",CDAN303 Sound Design for Animators .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4515,Continued study of the digital realm in animation. Primary focus is on 3D computer animation.,CDAN306 Toolbox III .
Animation,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4516,,CDAN392 AN Course Assistantship 
Animation,,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4517,,CDAN398 AN Internship 
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4518,Critique,CDAN399 AN Independent Study .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4519,"The first of two semesters involving investigation and articulation through animation of a topic of personal interest for each student. This course involves extensive scholarly research and experimentation including short trials runs of techniques and strategies. All these are used on the path towards completion of a comprehensive film or set of films. At the close of the first semester, students will have defined their intentions through a completed animatic essay on purpose and intent, design studies, trial shorts, and a minimum of one minute of completed footage representative of their final product.",CDAN400 Degree Project I .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4520,"Animation Portfolio provides a concentrated opportunity for graduating seniors to develop content and practices directed towards their professional goals in the field of animation. Through a series of projects, lectures and workshops, students develop professional standards and produce a finished portfolio and show reel.",CDAN401 Animation Portfolio .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4521,The second of two semesters involving investigation and articulation through animation of a topic of personal interest for each student. Students complete all phases of production and promotion of their chosen project.,CDAN402 Degree Project II .
Animation,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4522,"Animation IV is an advanced-level production course in which students produce one high-end, purpose-driven animation. Emphasis is placed on clear communication of ideas, which is challenged through intensive group critique of every phase of the process: from script to storyboard to animatic to finished animation. Complete musical score and sound design is coordinated via a semester-long collaboration with students from Berklee College of Music. Additionally, students will complete three, ten-second style emulations. which closely examine the work of independent animators.",CDAN403 Animation IV .
Architectural Design,3,http://academic-catalog.massart.edu/preview_course_nopop.php?catoid=6&coid=4523,"Development of a variety of design/technical drawing skills through exploration in various media using architectural design contexts. Attention is given to 3D material rendition, construction means, and form characteristics through measuring, documentation and transformation into 2D drawing. Freehand and hard line drawing including plan, section, elevation, axonometric, isometric, and perspective are covered through a diverse set of drawing projects.",EDAD102 Architectural Technical Drawing .
