category,title,credits,prerequisites,description
ARTS MANAGEMENT,AMGT 130 Introduction to Arts Management ,3 cr,Prerequisite: None,"Introduces the historical development of arts management through a survey of patronage, artist/manager, nonprofit and commercial management systems. Lectures and readings will concentrate on the major areas of interest for marketing and fiscal management of individual and collective artists."
ARTS MANAGEMENT,AMGT 235 Fundamentals of Arts Organizations ,3 cr,Prerequisite: AMGT 130,"Explores functional elements of arts organizations with emphasis on strategic planning and organizations' fit in the arts ecosystem. An indepth study of arts management focusing on topics including planning, organizational identity, environmental analysis, strategy development, marketing, human resources, financial planning, fundraising and control systems. Focus will be on the strategic management process and organizational innovation in the context of the contemporary arts environment. Course attributes: LDRS."
ARTS MANAGEMENT,AMGT 245 Arts Marketing ,3 cr,Prerequisite: AMGT 235,"Examines the fundamentals of marketing theory and its application in arts management. Topics include marketing mix; situational analysis; segmentation, branding; the 4 P's, publicity; Internet, social media, and database marketing; and marketing plan implementation and control. This course will examine theory and then directly apply concepts in the development of personal branding tools and in the generation of comprehensive marketing for a local arts organization."
ARTS MANAGEMENT,AMGT 255 Financial Management in the Arts ,3 cr,Prerequisite: AMGT 130,"Explores and examines the major elements of financial accounting in a typical arts organization. With a focus on non-profit finance, students will learn to perform basic accounting tasks, prepare and analyze financial statements, implement an effective financial control system, use financial information as part of organizational decision making, develop a mission-driven budget, and understand professional accounting standards."
ARTS MANAGEMENT,AMGT 305 Writing in the Arts ,3 cr,Prerequisite: AMGT 130 or instructor permission,"Prepares students for writing in the arts for a variety of contexts and audiences. The class will be run in a studio format where students experience and engage in writing, analyzing, and drafting processes exploring a range of methods of communicating effectively and disseminating information about the arts and about their role in the arts. Students will develop a portfolio of writing (philosophy statement, bio, resume, cover letter, press release, blog entries, reviews, interviews, etc.)"
ARTS MANAGEMENT,AMGT 330 Grants & Fund Raising ,3 cr,Prerequisite: AMGT 235,Introduces the techniques in grant research and technical and contextual writing skills for grants in the arts. Examines government and private sources of art funding and fund raising techniques for arts organizations.
ARTS MANAGEMENT,AMGT 335 Museum Studies ,3 cr,Prerequisite: AMGT 130 or ART 117,Explores the operation of the art museum as a means to introduce the student to various aspects of the museum profession. Field trips to area museums and experience with the research and mounting of a didactic display highlight the study.
ARTS MANAGEMENT,AMGT 340 Performing Arts Management ,3 cr,Prerequisite: AMGT 130,"Examines issues particular to the management of performance artists. Focuses on contracts, legal issues, union representation, artistic freedom, promotion and marketing. Emphasis will be placed on problem-solving and negotiation with the individual artist."
ARTS MANAGEMENT,AMGT 345 Community Arts and Education ,3 cr,Prerequisite: AMGT 130,"Explores the work of artist educators in and out-of-school contexts, develop skills to identify learning objectives for their work, document educational work, and increase the potency of marketing and descriptive material."
ARTS MANAGEMENT,AMGT 375 Arts Leadership ,3 cr,Prerequisite: AMGT 130,"Studies the theories of human motivation and leadership and adaptation of these theories to programs in arts organizations. Students will probe concepts of authority and delegation and analyze leadership styles. Students will also explore concepts of and develop skills in managing effective workteams, time management, hiring and supervision, and board relations."
ARTS MANAGEMENT,AMGT 430 Topics in Arts Management ,3 cr,Prerequisite: AMGT 130,"Studies in depth a specific aspect of arts management designed to provide advanced work in arts management analysis, communication, legal issues and marketing. Primarily for arts management students in the junior and senior year. Content identified by subtitle."
ARTS MANAGEMENT,AMGT 435 Advanced Museum Studies ,3 cr,Prerequisite: AMGT 335,An advanced level of museum study which includes management and exhibition.
ANTHROPOLOGY,ANTH 130 Introduction to Sociocultural Anthropology ,3 cr,Prerequisite: None,"Introduces students to the basic concepts, theories and methodologies of sociocultural anthropology. Creates an awareness of the wide spectrum of cultural variation throughout the world. Demonstrates that through the study of anthropology, we may not only gain an understanding of ""exotic"" cultures but also of our own sociocultural experience. Course attributes: CRCU, CSS, SOCJ."
ANTHROPOLOGY,ANTH 140 Peoples of the World ,3 cr,Prerequisite: None,"Examines the way of life of selected societies in various parts of the world. Explores patterns in human cultures, as well as the uniqueness of particular societies. Considers whether or not it is possible to truly understand a culture other than one's own. Course attributes: C&FS, CRCU, CSS, SOCJ."
ANTHROPOLOGY,ANTH 320 Peoples of the Middle East ,3 cr,Prerequisite: ANTH 130 or ANTH 140 or instructor approval,"Exposes students to a variety of lifestyles in the Middle East through an examination of ecology, gender, kinship, stratification, religion and ethnicity. Considers the cultural perspectives of the powerful and the weak under colonialism and in post-colonial situations. Addresses ""newsworthy"" issues such as oil wealth and labor migration, ""terrorism,"" fundamentalism and nationalism. Course attributes: C&FS, CRCU, WMST."
ANTHROPOLOGY,ANTH 321 Peoples of the Caribbean ,3 cr,Prerequisite: ANTH 130 or ANTH 140,"Explores diverse aspects of life and culture in the Caribbean focusing on the following themes: colonial history of the Caribbean and the rise of plantation culture, gender and family life; the economic situation; industry and commerce; religion and life cycles; education; health care and access to medical services; democratization and political activism, such as the rise of Rastafarianism, ethnic identity and conflict. Course attributes: C&FS, CRCU."
ANTHROPOLOGY,ANTH 322 Peoples of China ,3 cr,Prerequisite: ANTH 130 or ANTH 140 or instructor approval,"Compares patterns of life in pre-revolutionary China with those that have emerged since the Revolution of 1949. Examines areas targeted for change by socialist leaders such as patriarchal attitudes and structures, distribution of wealth and availability of health care. Evaluates trends toward rapid industrialization and ""democratization."" Course attributes: C&FS, CRCU."
