description,title,prerequisites,schedule_type,levels,link,department
"Includes the study of business papers, bank checks, reconciliations, payroll accounts, the use of journals, general and subsidiaries, ledgers, worksheets, and the preparation of financial statements.",ACC 100 - Basic Accounting & Bookkeeping,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=100,Business
"Basic concepts of accounting; use of accounting data.Topics include, but are not limited to, the theory of debits and credits, use of journals and ledgers, analysis and recording of financial transactions, the accounting for both service and merchandising business, internal controls, specialized journals, and the control of cash transactions.",ACC 101 - Introductory Accounting I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=101,Business
"Continuation of ACC101 Introductory Accounting I. Topics include, but are not limited to, fixed and intangible assets, payroll, partnerships, corporations, corporate stocks, retained earnings, dividends, bonds, present value theory, investments, marketable securities and statement of changes in financial position.",ACC 102 - Introductory Accounting II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=102,Business
"Detailed study of financial reporting and the conceptual framework of accounting theory/practice as they relate to income statements and balance sheets; cash, temporary investments and receivables; inventories, and plant assets.",ACC 201 - Intermediate Accounting I,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=201,Business
"Includes depreciation, intangibles, current and long-term liabilities, long-term receivables, investments, corporate capital structure, and income recognition.",ACC 202 - Intermediate Accounting II,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=202,Business
"Intensive study of cost methods: costing for materials, labor, and factory overhead; job order costing, direct costing, and the use of standards and variances, as well as managerial implications of costing methodology.",ACC 203 - Managerial Accounting,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=203,Business
"An introduction to federal tax laws with emphasis on personal tax returns and related schedules. Topics include calculation of adjusted gross income, deductions, exemptions, calculation of tax, and use of computers for completion of tax forms.",ACC 204 - Tax Accounting,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=204,Business
Designed to provide both reinforcement of Introductory Accounting I and II and hands on experience with a microcomputer and its role in business situations. System design theory and accounting theory will be used to show the flow of business information through data entry and financial preparation and reproduction.,ACC 205 - Computerized Accounting Systems,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ACC&crse_numb_in=205,Business
"This course is designed to introduce students to the anthropological study of human culture.We will explore ways of trying to understand the world views and belief systems of a diverse array of human cultures. Some of the topics to be explored include family and kinship systems, religion and magic, language, economic and political systems, conflict and social control, cultural constructions of gender and race, and the effects of globalization. The course aims to foster in students cross-cultural understanding as our world becomes increasingly interconnected, as well as recognition of the fundamental similarities we all share as humans.",ANT 101 - Cultural Anthropology,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ANT&crse_numb_in=101,Behavioral Science
"This course will introduce you to the field of archaeology through a broad survey of the great ancient civilizations of the world. We will examine archaeological evidence of early human developments including the origins of culture, language, writing, religion, art, agriculture, cities, and states. Our investigation into archaeological methods and theories will be grounded in the scholarly literature on many of the worlds most interesting and spectacular archaeological sites including Stonehenge, the Great Pyramids of Egypt, the Cave Paintings in Lascaux, Machu Picchu, and Copan, among others. The semester will then culminate in a short-term study abroad trip, where we will visit one or more of the great archaeological sites we have learned about.",ANT 110 - Archaeological Site Exploration,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ANT&crse_numb_in=110,Behavioral Science
"Introduction to the Creative Experience introduces the methods, materials and meaning of the arts to those who are involved in developmental programs childhood to adulthood. It is a way to explore the world through nonverbal experiences which are personal to each one. Emphasis is placed on spontaneity, imagination, invention and flexibility of each student.",ART 100 - Introduction to the Creative Experience,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=100,Art & Design
"Introduction to the Creative Arts is an interdisciplinary course with emphasis on both the experience of the arts and theory. The course gives students an overview of all the arts by emphasizing the actual experience of dance, theater, art and music. It is intended to give the student a strong sense of the enjoyment, excitement and pleasure that the arts can provide.",ART 101 - Introduction to the Creative Arts,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=101,Art & Design
"This course will introduce students to a number of media and practices in Studio Art.Problems in drawing, design, and color media will be given.The student will become acquainted with basic studio art concepts and materials, with an emphasis on discovery and exploration.Though the course is intended for non-majors, it will count toward the Arts Elective in the General Studies: Visual Arts major.",ART 103 - Introduction to Studio Art,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=103,Art & Design
"This course is an introduction to the history of painting, sculpture, and architecture in the Western world and other world cultures.The periods to be covered range from Prehistoric times to the year 1500 and include the Stone Age, ancient Egypt, Greece and Rome, the Byzantine and Medieval worlds and early Renaissance.Trips to area museums may be required in the course.",ART 104 - Art History From Prehistory to Early Renaissance,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=104,Art & Design
"A survey course which covers the major period styles of painting, sculpture, and architecture in the Western world from the 1500's to the present. Trips to area museums may be required in the course.",ART 105 - Art History from the Renaissance to the Present,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=105,Art & Design
"An interdisciplinary and multi-media approach to the arts.The course will consider criteria that are common to all the arts as well as those that apply to particular arts: music, dance, theater, the visual arts, architecture, and film.This course is designed to give students an overview of all the arts by providing guidelines that will sharpen their appreciation and perception the ways in which the arts are a reflection of particular time periods as well as those timeless issues that are part of the human condition.",ART 106 - Exploring the Arts,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=106,Art & Design
This intensive study abroad course will give students a working perspective of the arts during important historic periods in a prominent art center of the world.Additionally the course will involve extensive drawing work around the country or region of exploration.In this course students will experience a foreign culture first-hand and expand their global awareness through this process.The country or region in which we will study may vary; countries visited will be picked based on the historical contribution to art and drawing opportunities.Permission of the Instructor is required. Students must have an overall GPA of 2.5 to take an international course.,ART 107 - International Art Experience: Art History,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=107,Art & Design
"An introduction to the creation and manipulation of objects in three dimensional space, Through a series of projects and activities the students will begin to build an understanding of various methods and techniques for the creation of three-dimensional objects. The elements of three dimensional design will include: how an object or group of objects can be experienced in relation to its surroundings and how the use of scale, color, line, texture, mass, the plane, form and sound may influence our perception of three dimensional objects.",ART 108 - Three Dimensional Foundations,,Lecture,Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=108,Art & Design
An introduction to the theories and concepts of basic two-dimensional design. Through a series of projects and activities the student will explore composition and color theory as it relates to two-dimensional art forms.,ART 109 - Two Dimensional Foundations,,"Accelerated, Lecture",Undergraduate - Credit,https://ssb.necc.mass.edu:9030/pls/PROD/bwckctlg.p_disp_course_detail?cat_term_in=201701&subj_code_in=ART&crse_numb_in=109,Art & Design
