Category,Credits,Id,Description,Title
AC,3,AC101,"This course serves as an introduction to accounting principles and concepts. The course explores the entire accounting cycle. Beginning with the initial entry through the formal financial statements, the student is provided with the essential background to concentrate on the more advanced accounting courses.",Principles of Financial Accounting 
AC,3,AC102,"This course examines the practical application of accounting theories to various types of business organizations. In addition to the accounting practices for partnerships and corporations, the student is introduced to more complex theories of internal control, income taxes, cost accounting, funds flow, and financing.",Principles of Managerial Accounting 
AC,3,AC201,"This first course in the intermediate series examines both the theory and practice of accounting as they relate to external financial reporting. The course will provide the student with a comprehensive background in the basic principles that underlie financial accounting and the effects of various influences on the standard setting process. Students will analyze some of the characteristics and limitations of financial reporting and review generally accepted accounting principles (GAAP), focusing on current and non-current assets and related issues including cash and receivables, inventories, intangible assets, and short-term liabilities. In addition, the course will focus on ethical issues arising in todays business environment.",Intermediate Accounting I 
AC,3,AC202,"This course is a continuation of the study of accounting theory and concepts examined in AC 201 Intermediate Accounting I. Students will acquire an understanding of a variety of accounting practices unique to corporations. Emphasis will be on applying accounting procedures and concepts, measurements, and reporting methods with respect to assets, long-term liabilities, income taxes, owners equity, and disclosure issues. Students will also evaluate the ethical and legal issues associated with reporting practices.",Intermediate Accounting II 
AC,3,AC207,"This course presents the fundamental principles of personal and business taxation. Students will examine the Internal Revenue Code, court decisions, and other regulations that pertain to taxation. In addition, determinations of taxable and non-taxable income, allowable deductions, gains and losses on sales and exchanges of property, and other significant elements of federal and state taxes will be studied.",Individual Taxation 
AC,3,AC308,"This course presents the basic philosophy of taxation and emphasizes the elementary principles of business taxation. The determination of taxable income, allowable deductions, non-taxable income, gains and losses on sales and exchanges of property, and other pertinent aspects of federal and state taxes are studied.",Business Taxation 
AC,3,AC310,"This course provides an introduction to cost accounting principles. The emphasis is on planning and controlling costs and using different approaches to develop a cost structure for products and services. Students will understand and apply cost analysis as a control tool to help management meet short/ long range profit objectives.",Cost Accounting 
AC,3,AC320,"This course examines the theory and practice of auditing. Emphasis is placed on the generally accepted auditing standards, audit planning and control, accounting cycles, conducting the audit and preparation of the different types of reports.",Auditing 
AC,3,AC345,"This course introduces student to fraud prevention, detection, and investigation techniques used in forensic accounting. Students will explore financial statement fraud, current laws, and other methods to prevent fraud including the Sarbanes-Oxley Act and corporate government regulations. In addition this course will provide the student with a working knowledge of the ethical, legal, psychological and social implications of fraud and other white collar crimes.",Forensic Accounting 
AC,3,AC402,"This course explores in depth the financial accounting and reporting requirements for business combination, consolidated financial statements, equity method of reporting investments, insolvency, and partnerships.",Advanced Accounting 
AC,3,AC498,"As an alternative to completing an internship, during the senior year students may elect to write a research paper on an approved topic. The paper will focus on a current accounting issue and involve significant research. Students must submit a written report to the faculty mentor who provides guidance throughout the project.",Accounting Bachelor Thesis 
AC,3,AC499,"This supervised internship allows the student an opportunity to apply the concepts learned in the classroom in a professional management environment. Students must complete a minimum of 150 hours with the placement, consult with the faculty coordinator at designated times throughout the internship, and complete a final written project.",Accounting Internship 
