Course Title,Course Description,Course Area,Credit,Course Num
 History of Technology: A Cultural & Contextual Approach ,"Throughout this semester we will use different history of technology narratives to explore larger themes.  Our narrative case studies will range from bronze age societal studies to cutting edge computing and Internet technologies, and throughout the semester we will compare and contrast these narratives in search of larger trends.  We will also identify and investigate broader issues such as large technological systems; paradigms and scientific revolutions; technologies and political values; ethical theories; and the environmental and sustainability implications of technologies.  Throughout the semester we will engage these narratives and broader issues through targeted writing activities, debates, individual and group presentations, at least one field trip, movie and media studies, and numerous in-class discussions.  Students will have a high degree of autonomy, and will set and evaluate their own learning objectives, determine the topic for final projects, and design and facilitate in-class activities throughout the semester.",AHSE,"
4 AHSE",1100
 Special Topics in Science  ,"This course will include equal numbers of Olin and Wellesley students, and will alternate class sessions at both campuses. Students will begin the semester with a series of readings and exercises that build skills and familiarity in the broad area of environmental studies: for example, we will work with framing environmental concept maps using environmental engineering principles (e.g. control volumes, flux, residence time) and environmental science concepts (energy conservation and energy density calculations), historical research and analysis, environmental ethics, and writing/presentation exercises centered around important case studies of interactions between societies, energy technologies, and the natural environment. We will use these skills and perspectives for the remainder of the semester as we conduct two research projects related to energy use, sustainability, and environmental impacts in both ancient societies and the modern day. This course involves extensive team project work and will offer many opportunities for students to identify their own goals and shape their studies in order to achieve those goals.",SCI2,"
Variable Credits SCI ",099 
 Quantum Physics  ,"This course is an introduction to quantum physics. Although quantum physics is the most successful description of natural phenomena that has ever been devised, quantum ""reality"" is so intuitively frustrating that Nobel laureate Richard Feynman once famously said: ""Nobody understands quantum mechanics!"" The course material includes the origin and development of quantum mechanics and quantum statistics, with the goal of providing an appreciation for the quantum rationale for the structure and characteristics of nuclei, atoms, molecules, fluids and solids (including semiconductors).  With permission of instructor, this course can be used for Physics Foundation credit.",SCI2,"
4 SCI ",130 
 Relativity  ,"When it was first introduced, Einstein's Special Theory of Relativity rocked the foundations of classical physics with a plethora of ""paradoxes"" such as identical twins who could have different biological ages. Like swimming or bicycle riding, Special Relativity can be completely mastered without formal physics prerequisites, and this course will be taught from first principles that do not require any specialized physics knowledge. This approach will naturally lead to an introduction of General Relativity, including some characteristics of Black Holes.",SCI2,"
2 SCI ",140 
 High Energy Astrophysics  ,"The universe is full of hot stuff! The oldest radiation that we can measure originally arose where the temperature was only thousands of degrees, but there is indirect evidence for the early universe that requires temperatures of trillions of degrees. As the universe expands and cools there are still occasional (but quite frequent) episodes involving temperatures of millions or even billions of degrees that are manifested in phenomena like supernovae and black holes. These high energy episodes are not just curiosities: supernovae are responsible for most of the chemical elements associated with life on Earth, and giant black holes are present at the cores of virtually all galaxies. This course will examine how the theoretical and empirical study of X-rays and gamma-rays can probe the high energy universe.",SCI2,"
2 SCI ",145 
 Special Topics in Physics  ,Special Topics in Physics classes (SCI X199) typically cover a specific topic in Physics and are intended to enhance and expand the selection of offerings from semester to semester.,SCI2,"
Variable Credits SCI ",199 
 Immunology  ,"Immunology is a relatively new science, and our understanding of our immune system is evolving at a rapid pace. When the immune system functions properly, infectious pathogens and potential cancer cells are destroyed. When our immune system malfunctions, normally harmless microorganisms can cause serious infections, autoimmune diseases or allergies can develop and cancer cells can evade immune surveillance and grow unchecked. In this lecture and discussion-based class, we will investigate the molecular and cellular mechanisms that control our immune responses. Current research in immunology will be emphasized through analysis of primary literature and media articles.",SCI2,"
4 SCI ",210 
 Microbial Diversity  ,"This course is an introduction to the tremendous diversity of the microbial world and its applications.  Topics include: bacterial growth, energy metabolism, nutrient cycling, symbiosis, bioremediation, biofilm formation, and techniques for culturing and working with bacteria.  This course approaches the study of environmental bacteria and their metabolic, physiological and genetic diversity through primary literature and laboratory work.  Students will learn biochemical, molecular and bioinformatics techniques for working with microbial systems.  Students will explore the microbial world first through guided laboratory exercises followed by development of individual and group special laboratory projects.  Students will develop working knowledge of microbiology that may be applied to a range of situations, from study of systems were microbes are a problem to development of biological solutions using microbes.",SCI2,"
4 SCI ",214 
 Biomechanics  ,This course is cross-listed as ENGR 2620.,SCI2,"
4 SCI ",220 
 Seminar: Product Management  ,For information contact:  ,SEM ,"
1 SEM ",101 
 Seminar: Olin Workshop on the Library ,For information contact:  ,SEM ,"
1 SEM ",102 
 The Wired Ensemble ,"Three concurrent streams comprise The Wired Ensemble: 1) composition and performance of original works for instruments and voices; 2)development of a ""Composer's Tool Chest""; and 3)musical analysis and reflection. As composers and performers, students concentrate on instruments, voices, and the symbolic language that brings them to life. They compose music for every family of instruments (woodwinds,brass, strings, percussion), as well as voice and spoken word. The course features biweekly performances of original compositions. Students also have the opportunity to hear their works performed in concert settings by professional and peer musicians with whom they have collaborated. Seminar trips to Boston and New York enable the class to gather musical and inspirational material,in addition to hearing some of the finest orchestral and vocal ensembles in concert. While actively engaged in composition and performance-all geared to an end-of-term production-students examine the worlds of earlier composers in order to provide context for their own lives and work.",AHSE,"
4 AHSE",1122
 Seminar: Big Ideas in Pedagogy and Educational Technology Trends,For information contact:  ,SEM ,"
1 SEM ",103 
" Seminar: Work, Play, Balance  ",For information contact:  ,SEM ,"
1 SEM ",104 
 Seminar: Industrial Media Super,For information contact:  ,SEM ,"
1 SEM ",105 
 Seminar: An Intro to Product Design and Engineering in a Large(r) Corporate Environment,For information contact:  ,SEM ,"
1 SEM ",201 
 Seminar: Fundamentals of Mechanical Design ,"In Fundamentals of Mechanical Design, we'll go over the basics of structural design, material selection, parts selection, and component sizing, with the practical goal of enabling students to design simple, robust assemblies on their own by the end of class. The class will include optional design challenges throughout the semester, designed to demonstrate basic concepts of mechanical engineering like structural design, power transmission, and mechanism design.",SEM ,"
1 SEM ",301 
 Seminar: Intro to Pneumatic and Hydraulic Systems ,"In this class, we'll learn the basics of system design, component sizing, part sourcing, and assembly of pneumatic (air powered) and hydraulic (liquid powered) systems. These types of systems are relatively easy to design if you know where to look for parts, are easy to control with binary logic, and are immensely useful in robotics, factory automation, and other motion control applications. The practical goal of the class will be to give students the ability to size, design, order, and (safely) assemble a pneumatic and hydraulic system from scratch.",SEM ,"
1 SEM ",302 
 Seminar: Musical Instrument Design and Engineering ,For information contact:  ,SEM ,"
1 SEM ",303 
 Seminar: Introductory Power Supplies ,Pre-requisites:  Successful completion of required first year courses,SEM ,"
1 SEM ",401 
 Seminar: Danger! High Voltage!  ,For information contact:  ,SEM ,"
1 SEM ",402 
 Seminar: Five More Skills for Software Designers ,For information contact:  ,SEM ,"
1 SEM ",501 
" Seeing and Hearing: Communicating with Photographs, Video and Sound","Seeing and Hearing is a foundation course that is about the communication of ideas developed by research, reflection, and evolving thought, using contemporary digital media tools as a vehicle for expression. In this project-based course, students will have opportunities for hands-on learning in audio recording and editing, photography and printing, and video recording and editing. Science and engineering content are integrated in order to provide a reasonably comprehensive understanding of the devices we use to gather sound and images and in order to understand more fully the properties of seeing and hearing. A major goal is to enlarge our awareness of the environment we inhabit and to respond to the perceived environment by producing original visual and sonic artwork. Students will complete projects including a self-portrait, a sound-piece that is used as an audio track for a short video, a video documentary, and a staged narrative. Our process is to share work through discussion sessions as we follow projects from their initial stages to completion and final presentation. Additional context for Seeing and Hearing is provided by selected readings, visits by guest lecturers, additional faculty and staff participation and by viewing work of other professional practitioners. This course does not require prior experience with image/sound gathering or editing.",AHSE,"
4 AHSE",1130
 Seminar: Data Dashboard Design  ,For information contact:  ,SEM ,"
1 SEM ",502 
 Seminar: Intro Embedded Software  ,For information contact:  ,SEM ,"
1 SEM ",503 
 Introduction to Sustainability  ,"This course, if successfully completed, in addition with SUST3301: Sustainability Synthesis, four total credits may be used toward the 28 AHS/Entrp minimum distribution credit requirement.",SUST,"
4 SUST",2201
 Sustainability Synthesis  ,"This course, if successfully completed, in addition with SUST2201: Sustainability Synthesis, four total credits may be used toward the 28 AHS/Entrp minimum distribution credit requirement.",SUST,"
4 SUST",3301
