title,desc
AC 205: Accounting I,"Beginning with the analysis of business transactions, through the recording process of the accounting cycle, to the final preparation of financial statements, a foundation is built for understanding and using accounting. Accounting is used in the analysis of the proper control and treatment of cash, receivables, payables, inventories, plant, and equipment. Fall.Group: II."
AC 206: Accounting II,"A continuation of Accounting I, this course focuses on generally accepted accounting principles. Students are exposed to the way accounting data are used in the decision-making process. Accounting for partnerships and corporations, financial statement analysis, and the Statement of Cash Flow is examined. Spring.Prerequisite: AC 205. Group: II. Lifelong Skills: Quantitative Reasoning Thematic Area."
AC 305: Intermediate Accounting I,"Provides an in-depth study of the principles introduced in prior courses. The nature of interest and the concept of the time value of money are studied to understand the application of present value for cost allocation purposes throughout the accounting process. The accounting cycle is reexamined with emphasis on cash, receivables, investments, inventories, intangibles, and long-term assets. Offered selectively. Prerequisite: AC 206 or permission. Group: II."
AC 306: Intermediate Accounting II,"Problems arising from the corporate structure, including stockholders equity, retained earnings, and earnings per share are examined. Additional topics covered are: long-term liabilities, bonds, pensions, leases, installment contracts, financial statement analysis, and the preparation of the Statement of Cash Flow. Offered selectively.Prerequisite: AC 206. Group: II."
AC 308: Cost Accounting,"Basic cost accounting methods used to collect, assign, control, and evaluate costs are studied. The application of material, labor, and overhead costs are examined under a job order and process cost-operation. The techniques of standard costing, as well as modern cost accounting, including activity-based costing, are introduced. Offered selectively.Prerequisite: AC 205. Group: II."
AC 310: Accounting for Nonprofit Organizations,"The unique accounting treatments developed for government agencies, universities, hospitals, and other nonprofit organizations are examined. Ethical issues for management accountants and financial executives are addressed. Offered selectively.Prerequisite: AC 205. Group: II."
AC 315: Principles of Taxation,"This course provides an introduction to basic federal tax law and its impact upon individuals. Emphasis is on the proper determination of gross income, exclusions, deductions, adjusted gross income, exemptions, credits, taxable income and calculations of taxes due. An overview of federal taxation of corporations is presented. Offered selectively.Prerequisite: AC 205 or permission. Group: II."
AC 325: Managerial Accounting,"The purpose of this course is to examine the crucial role accounting data play in enhancing the overall ability of managers in planning, controlling, and decision making. Contemporary performance measurements are studied, and a cross-functional approach in designing cost management systems is stressed. Offered selectively.Prerequisite: AC 205. Group: II."
AC 326: Budgeting and Control: Managing for the Future,"This course stresses of how to prepare budgets in a complex business environment. It deals with common-sense techniques as affected by both practical and political (internal or external) constraints. The focus deals with estimating concepts as they relate to various subjects such as cash, capital expenditures, manufacturing, and non-manufacturing organizations. The course also deals with zero-based budgeting concepts with respect to critical accounts, as well as the indexation of less than critical accounts. Offered selectively.Prerequisite: AC 308 or AC 325. Group: II."
AH 101: Introduction to Art History,"This course is a thematic study of art produced in global cultures from antiquity to the present day. Emphasis is placed on exploring the relationship between art and its historical and cultural background, with close attention to art as a means of human expression. Fall. Group: I, Arts & Literature Thematic Area.."
"AH 105: Space, Place and Experience","This is an architectural history course that focuses on the spaces and places in our built environment and our experiences that are shaped by them. Students explore the following questions: How and why are spaces and places conceived and planned? How do people experience spaces and places? How do individuals interact with others in spaces and places? How is individual and group identity defined by spaces and places? What do spaces and places reveal about our personal and broader cultural values? Spaces and places will be viewed in their historical contexts (ancient through post-modern) through the lenses of architectural/urban history, anthropology, sociology, and psychology. Group 1; Arts & Literature Signature course"
AH 210: Italian Renaissance Art,"This course investigates the Italian Renaissance from its origins through the late 16th century. Emphasis is placed on artists styles; the structure of patronage; philosophical and political thought within humanism; and the role of symbolism. Donatello, Botticelli, Leonardo da Vinci, Michelangelo, and Raphael are some of the artists covered. Spring. Group: I."
AH 213: Introduction to African and African American Art,"Concentrates on the study of African and African-American art and their cultural settings. Classes focus on the reception and modification in the western hemisphere of African visual culture and philosophical traditions, e.g., in the United States, Cuba, Haiti, Brazil, and Trinidad. Lectures and discussions are supplemented by group and individual trips to Boston-area museums, including the Museum of the National Center of Afro-American Artists. Spring.Group: I."
AH 230: Baroque Art,"The style and historical context of art and architecture during the Baroque period (late 16th to early 18th centuries) is examined. Connections are made between the art and architecture and the philosophical, political, and scientific developments throughout this period. Artists such as Caravaggio, Bernini, Rubens, and Rembrandt are studied. Fall. Group: I."
"AH 235, Latin American Art: PY 340, Research Design and Applied Statistics","PY 341, Community-Based Research Practicum and Applied StatisticsSPS 150, Peace and ConflictIDS 200, Inclusive Leadership and Social ResponsibilityIDS 202, Mentoring Practicum"
AH 235: Latin-American Art (S-L)*,"This course is a survey of Latin-American Art from the 19th century to the present, with primary focus on the 20th century. Painting, sculpture, and related objects from a variety of visual cultures throughout Central and South America are studied. These works, along with objects from popular culture, are examined within the social, political, and economic context of Latin America. Ethnic, gender, and class relations form an important part of this study. Connections between visual culture and music and literature are also explored in this course. Spring.Group: I.*Designated as a Service-Learning course. See the Service Learning course section."
AH 245: American Painting and Sculpture,"The development of American painting and sculpture from its beginning in the 17th century to the late 20th century. Students debate the relationship between American and European styles and subjects matter. Also, explores regional qualities and the increasing diversity of American artists in the 19th and 20th centuries. Summer.Group: I."
AH 260: Art of the Harlem Renaissance,"Students will explore the work of African-American painters, sculptors, and photographers during the 1920s and 1930s. Centered in Harlem, these artists formed part of the first significant African-American cultural movement. Issues of cultural and racial identity as well as the stylistic features of works of art will be examined in this course. The artists covered will also be studied as part of the broader cultural phenomenon of the Harlem Renaissance, which included the work of philosophers, writers, performers, and political activists. Fall.Group: I."
AH 270: The Art of China,"Introduces the origins and evolution of Chinese art from the Neolithic period through the nineteenth century. Investigates diverse art forms such as the bronzes and jades of the Shang and Chou dynasties, the tombs of the Han, landscape painting and the art of calligraphy and pottery.No prerequisite."
