Category,Description,Title,Section,Openings,Id
ABC, No Course Description is available for this course.,Nursing Fac Meeting,['02'],29 open seats,101
ABC, No Course Description is available for this course.,Nursing Tutoring,['04'],12 open seats,101
ABC, No Course Description is available for this course.,Duel Enrollment Workshop,['05'],30 open seats,101
ABC, No Course Description is available for this course.,Canvas Training,['10'],30 open seats,101
ABC, No Course Description is available for this course.,Wellness Club,['14'],15 open seats,101
ABC, No Course Description is available for this course.,GSA Club,['16'],15 open seats,101
ABC, No Course Description is available for this course.,Drama Club,['17'],20 open seats,101
ABC, No Course Description is available for this course.,Gamma Information Session,['19'],30 open seats,101
ABC, No Course Description is available for this course.,Standing Committees,['28'],0 open seats,101
ABC, No Course Description is available for this course.,PTK  Meeting,['31'],15 open seats,101
ABC, No Course Description is available for this course.,Asian American Civic,['70'],15 open seats,101
ABC, No Course Description is available for this course.,Interview,['96'],0 open seats,101
ABC, No Course Description is available for this course.,ATI Testing Schedule,['01'],20 open seats,108
ABC, No Course Description is available for this course.,ATI Testing,['02'],20 open seats,108
ABC, No Course Description is available for this course.,ATI Testing,['91'],15 open seats,109
ABC, No Course Description is available for this course.,ATI Testing,"['91', '01']",20 open seats,153
ABC, No Course Description is available for this course.,ATI Testing,"['91', '02']",20 open seats,153
ABC, No Course Description is available for this course.,ATI Testing,['01'],20 open seats,206
ABC, No Course Description is available for this course.,ATI Testing,['02'],15 open seats,206
ABC, No Course Description is available for this course.,ATI Testing,['03'],15 open seats,206
ABC, No Course Description is available for this course.,ATI Testing Schedule,['04'],15 open seats,208
ACC,"This is an introductory course in accounting with the emphasis on
the basic accounting cycle, management use of accounting data,
construction and analysis of financial statements, and valuation of
assets. Placement at ENG 101 level strongly advised.",Accounting I,['01'],3 open seats,101
ACC,"This is an introductory course in accounting with the emphasis on
the basic accounting cycle, management use of accounting data,
construction and analysis of financial statements, and valuation of
assets. Placement at ENG 101 level strongly advised.",Accounting I,['02'],1 open seats,101
ACC,"This is an introductory course in accounting with the emphasis on
the basic accounting cycle, management use of accounting data,
construction and analysis of financial statements, and valuation of
assets. Placement at ENG 101 level strongly advised.",Accounting I,['91'],2 open seats,101
ACC,"This is an introductory course in accounting with the emphasis on
the basic accounting cycle, management use of accounting data,
construction and analysis of financial statements, and valuation of
assets. Placement at ENG 101 level strongly advised.",Accounting I,"['F7', '1']",10 open seats,101
ACC,"This is an introductory course in accounting with the emphasis on
the basic accounting cycle, management use of accounting data,
construction and analysis of financial statements, and valuation of
assets. Placement at ENG 101 level strongly advised.",Accounting I,['HY'],17 open seats,101
ACC,"This is an introductory course in accounting with the emphasis on
the basic accounting cycle, management use of accounting data,
construction and analysis of financial statements, and valuation of
assets. Placement at ENG 101 level strongly advised.",Accounting I,"['PF7', '1']",8 open seats,101
ACC,"This is an introductory course in accounting with the emphasis on
the basic accounting cycle, management use of accounting data,
construction and analysis of financial statements, and valuation of
assets. Placement at ENG 101 level strongly advised.",Accounting I,"['PF7', 'A']",10 open seats,101
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
Topics included in this course are books of original entry, analysis of
assets and liabilities, negotiable instruments, and an introduction to
partnership and corporate accounting. Prerequisite: ACC 101.",Accounting II,['01'],1 open seats,102
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
Topics included in this course are books of original entry, analysis of
assets and liabilities, negotiable instruments, and an introduction to
partnership and corporate accounting. Prerequisite: ACC 101.",Accounting II,['91'],13 open seats,102
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
Topics included in this course are books of original entry, analysis of
assets and liabilities, negotiable instruments, and an introduction to
partnership and corporate accounting. Prerequisite: ACC 101.",Accounting II,"['F7', '2']",6 open seats,102
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
Topics included in this course are books of original entry, analysis of
assets and liabilities, negotiable instruments, and an introduction to
partnership and corporate accounting. Prerequisite: ACC 101.",Accounting II,['HY'],20 open seats,102
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
Topics included in this course are books of original entry, analysis of
assets and liabilities, negotiable instruments, and an introduction to
partnership and corporate accounting. Prerequisite: ACC 101.",Accounting II,"['PF7', '2']",6 open seats,102
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
Topics included in this course are books of original entry, analysis of
assets and liabilities, negotiable instruments, and an introduction to
partnership and corporate accounting. Prerequisite: ACC 101.",Accounting II,"['PF7', 'B']",10 open seats,102
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
This course offers the student an analysis of corporate accounting.
The student should gain a knowledge of accounting practices used
by corporations and by partnerships. The tax implications of these
accounting practices are examined. Prerequisite: ACC 102.",Accounting III,['01'],9 open seats,201
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
This course offers the student an analysis of corporate accounting.
The student should gain a knowledge of accounting practices used
by corporations and by partnerships. The tax implications of these
accounting practices are examined. Prerequisite: ACC 102.",Accounting III,['91'],8 open seats,201
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
This course offers the student an analysis of corporate accounting.
The student should gain a knowledge of accounting practices used
by corporations and by partnerships. The tax implications of these
accounting practices are examined. Prerequisite: ACC 102.",Accounting III,"['PF7', '1']",14 open seats,201
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
This course studies accounting theory including property, plant and
equipment, tangible assets, current liabilities, long-term corporate
capital, and earnings per share. Prerequisite: ACC 201.",Accounting IV,"['PF7', '2']",13 open seats,202
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
This course presents the analysis and interpretation of accounting
information. Cost term, cost management in planning and control,
managing costs throughout the organization, and managing costs in
a global environment. Prerequisite: ACC 102.",Managerial Accounting,['01'],11 open seats,205
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
This course presents the analysis and interpretation of accounting
information. Cost term, cost management in planning and control,
managing costs throughout the organization, and managing costs in
a global environment. Prerequisite: ACC 102.",Managerial Accounting,['61'],14 open seats,205
ACC,"3 Credits (3 Lecture 0 Lab 0 Clinical)
3 Hours/Week (3 Hrs. Lecture) *15 wks
This course presents the analysis and interpretation of accounting
information. Cost term, cost management in planning and control,
managing costs throughout the organization, and managing costs in
a global environment. Prerequisite: ACC 102.",Managerial Accounting,"['ON', 'P']",18 open seats,205
ACC,"A survey of federal tax structure as it appli es to individual, partnerships and corporatio ns.  Emphasis will be placed up specific prob lems as a device to further the appreciation of the impact of taxes upon decision making a nd forecasting, and the effect upon forms of organization. Prerequisite:ACC102",Federal Taxation,['91'],1 open seats,209
AQC,"This is the first in a series of two practicum experiences. Students learn hands-on skills through the Aquaculture Practicum series.  Skills such as water quality testing, system construction and maintenance, species collection methods and treatments, feeding and breeding technology are part of the practicums.  Practicum I assigns students to a shellfish aquaculture hatchery to observe and partake in the care of the aquaculture seed product.  Students also work with program partners in the industry in practicums and in the science laboratories, environmental non-governmental  organizations, as well as commerical aquatic businesses.",Aquaculture Practicum I,['61'],3 open seats,101
ART, No Course Description is available for this course.,Basic Drawing,['01'],3 open seats,101
ART, No Course Description is available for this course.,Basic Drawing,['91'],13 open seats,101
ART, No Course Description is available for this course.,"Line, Color & Design",['01'],10 open seats,103
ART, No Course Description is available for this course.,"Line, Color & Design",['91'],13 open seats,103
ART, No Course Description is available for this course.,Acting Workshop,['01'],17 open seats,112
ART,"An introduction to the overview of painting using acrylic or
watercolor. The course covers color mixing, techniques of
application, and composition. Students will paint from life and
other sources and from imagination. Students purchase their own
materials.",Basic Painting,['01'],11 open seats,115
ART,"An introduction to the overview of painting using acrylic or
watercolor. The course covers color mixing, techniques of
application, and composition. Students will paint from life and
other sources and from imagination. Students purchase their own
materials.",Basic Painting,['91'],14 open seats,115
ART,"This course is an introduction to photography as an art of visual communication. Topics discussed are camera basics, exposure,lenses, lighting and composition. Image editing using Photoshop covers the sequence for an optimal workflow. Additional topics include file management, retouching and creating composite images.Photo assignments require the student to have access to a camera, preferably a single-lens reflex.",Photography I,['01'],0 open seats,119
ART,"This course is an introduction to photography as an art of visual communication. Topics discussed are camera basics, exposure,lenses, lighting and composition. Image editing using Photoshop covers the sequence for an optimal workflow. Additional topics include file management, retouching and creating composite images.Photo assignments require the student to have access to a camera, preferably a single-lens reflex.",Photography I,['61'],5 open seats,119
ART,"This course is an introduction to photography as an art of visual communication. Topics discussed are camera basics, exposure,lenses, lighting and composition. Image editing using Photoshop covers the sequence for an optimal workflow. Additional topics include file management, retouching and creating composite images.Photo assignments require the student to have access to a camera, preferably a single-lens reflex.",Photography I,['65'],8 open seats,119
ART,"This course is an introduction to photography as an art of visual communication. Topics discussed are camera basics, exposure,lenses, lighting and composition. Image editing using Photoshop covers the sequence for an optimal workflow. Additional topics include file management, retouching and creating composite images.Photo assignments require the student to have access to a camera, preferably a single-lens reflex.",Photography I,"['F7', '1']",19 open seats,119
ART, No Course Description is available for this course.,Photography II - Photojournalism,"['F7', '2']",27 open seats,120
ART,"This course provides an introductin to craft and arat of drama, including a close sutdy of  technique and subject and selected plays. Prerequisite:  Eng 102",Modern Drama,['61'],12 open seats,150
ART, No Course Description is available for this course.,Theatre Production,['01'],12 open seats,155
ART, No Course Description is available for this course.,Histiory of TV Independent Study,['61'],0 open seats,197
ART, No Course Description is available for this course.,Photography II Independent Study,['62'],0 open seats,197
ART,"This course will show how important cultural trends interact with art, music and drama. St udents will analyze the ways in which visual, musical and dramatic artists respond to major  cultural movements, and they will also discu ss how art may change society in return.  In addition, this course will show how the diff erent branches of the fine arts influence and  contribute to each other during important ep ochs.  Prerequisite:  12 credits ART/MUS conc entration electives",Art & Society,['01'],3 open seats,230
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['01'],1 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['02'],0 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['03'],3 open seats,106
BIO,"4 Credits (4 Lecture & Lab 0 Clinical)
4 Hours/Week (4Hrs. Lecture) *15 wks
This course focuses on nutrition across the life span. Students
will gain an understanding of nutritional principles in both health
and illness. Nutrition throughout the life span at all stages of
development is emphasized. Nutritional bio-chemistry of all
macronutrients will be covered. Topics covered include: health
promotion, nutritional guidelines, macro-nutrient chemistry,
micro-nutrient chemistry, menu planning, food labeling, safety,
obesity, clinical eating disorders, RDA requirements, and age related",Nutrition and Lab,['04'],21 open seats,106
