category,course,credits,description,title
College Experience,ACS 102,3 credits,"This three-credit course, required of all new students in the first-semester is designed to provide students with the necessary tools for academic success in all subject areas. Students will explore learning strategies in all subject areas through extensive reading, writing, and classroom discussions. The course will also promote awareness of academic and student support resources available at RCC. Cultural awareness and appreciation are woven into the course.",The College Experience
Associate Degree Nursing (Adn),ADN 150,9 credits,"This course provides students with foundations to the art and science of professional nursing. Students are introduced to the nursing process, basic human needs, the nurse-client relationship, health care delivery systems, and critical thinking skills. Students are also introduced to the roles and responsibilities of the associate degree nurse. This course includes hospital/health care facilities/community experiences; selected observations; and use of the computer and skills lab. Prerequisites: Requires acceptance into the Nursing Program. English Composition I (ENG 101); Anatomy & Physiology I (SCI 201); General Psychology (SSI 122); English Composition II (ENG 102) Concurrent; Human Growth and Development (SCI 209) Concurrent; Anatomy & Physiology II (SCI 202) Concurrent",Foundations Of Nursing
Associate Degree Nursing (Adn),ADN 151,11 credits,This course builds upon the framework presented in Foundations of Nursing. Students focus on therapeutic nursing interventions for the adult client with common health problems. Students use critical thinking skills to meet the health care needs of adult clients. This course includes hospital/health care facilities/community experiences; selected observations; and use of the computer and skills lab. Prerequisites: Requires acceptance into the Nursing Program. Foundations Of Nursing (ADN 150); English Composition II (ENG 102); Anatomy & Physiology II (SCI 202); Human Growth & Development (SSI 209),Nursing In Health & Illness I
Associate Degree Nursing (Adn),ADN 210,3 credits,"This course is designed to give beginning nursing students an overview of the practice of gerontological nursing. Topics include: concepts and theories of aging; nursing assessment and care of the older adult; challenges in aging; changes in aging; elder nutrition; and specific units on elder body systems, ie. integumentary, sensory, cardiovascular, respiratory. Prerequisites: Foundations Of Nursing (ADN 150), Nursing in Health & Illness I (ADN 151), or Equivalent",Principles Of Gerontological Nursing
Associate Degree Nursing (Adn),ADN 252,10 credits,This course builds upon Nursing in Health and Illness I. Students focus on health promotion and therapeutic nursing interventions for clients with complex physical and mental health problems. Students demonstrate critical thinking skills utilized in nursing practice. This course includes hospital/health care facilities/community experiences; selected observations; and use of the computer lab. Prerequisites: Requires acceptance into the Nursing Program. Nursing in Health & Illness I (ADN 151); Microbiology (SCI 204),Nursing In Health & Illness Ii
Associate Degree Nursing (Adn),ADN 253,10 credits,"This course builds upon all previous nursing courses. Students focus on health promotion, therapeutic nursing interventions, and management of care for groups of clients across the life span. Students provide nursing care to geriatric clients, pediatric clients, and the childbearing family. Students fully integrate critical thinking with the knowledge, skills, and attributes needed for professional nursing practice. This course includes hospital/health facilities/community experiences, selected observations, and use of the computer lab.Prerequisites: Requires acceptance into the Nursing Program. Nursing in Health & Illness II (ADN 252); Elective",Nursing Across The Life Span
Associate Degree Nursing (Adn),ADN 254,3 credits,This course focuses on concepts and issues pertinent to professional nursing practice. The course is designed to facilitate the transition from student nurse to entry level practitioner. Discussion topics include: manager of care responsibilities; professional attributes; caring behaviors; cultural sensitivity; legal-ethical responsibilities; lifelong learning; and the role of the registered nurse within the current health care and nursing profession. A variety of active learning activities promote critical thinking and enhance creative problem-solving. Prerequisites: Requires acceptance into the Nursing Program. Nsg In Hlth & Illness II (ADN 252),Issues In Professional Nursing
Broadcast Media Technology (Bmt),BMT 100,3 credits,"Designed for students interested in becoming a producer or director within the television industry. The financial, creative, and decision-making responsibilities associated with being a producer or a director is explored. Topics include, but are not limited to, directional decisions, special effects, use of music and music rights, time constraints and costs, copyrights, scripts, staging, and prop placement. Students will be required to develop, produce, and direct a short video project.Prerequisites: English Comp I (ENG 101) Eligible; Introductory Algebra (MAT 088); Video Techniques (BMT 120) Concurrent",Introduction To Production And Directing
Broadcast Media Technology (Bmt),BMT 110,3 credits,"Students learn to operate audio boards, video switchers, studio cameras, character generators, intercom systems, and various videotape machines. Hands-on training on state-of the-art equipment is emphasized. Assignments are designed to develop familiarity with video equipment so that it can be used effectively to visualize concepts, ideas, and stories. Prerequisites: Intro Prod & Directing (BMT 100) or Video Techniques (BMT 120)",Television Production
Broadcast Media Technology (Bmt),BMT 120,3 credits,"This course is designed to give students a basic overview of electronic field production and news gathering. Field cameras, microphones and microphone placement, audio mixing, editing, and lighting will be discussed. Prerequisites: English Comp I (ENG 101) Eligible; Introductory Algebra (MAT 088); Intro to Producing and Directing (BMT 100) Concurrent",Video Techniques
Broadcast Media Technology (Bmt),BMT 210,3 credits,"This is an advanced course in television production theory and practicum. Emphasis is placed on the conceptualization, planning, and execution of advanced television programs. Students will learn and acquire practical experience in the Television Studio setting. The course will also include advanced level study of various television genres such as drama, sitcom, game shows, talk shows, magazine, and sports shows. Students will learn, through study, about historical television seasons and relationship to successful ventures. Students will develop, pitch and write their own television series, news and prospectus in addition to learning how to manage and run a television production studio. Student projects will be broadcast weekly via the Internal Cable Broadcast System and internet streaming .Prerequisites: Television Production (BMT 110",Advanced Tv Production
Broadcast Media Technology (Bmt),BMT 230,3 credits,"This course is a continuation of BMT 120 Video Techniques. It introduces the basic skills and principles of video editing in the post-production stage. Students will be given a series of pre-produced videos to edit. Synchronization, audio mixing and dubbing, character generated graphics and sound or special effects will be discussed. Editing will involve mini-DV, DVCAM, DV, cuts only projects, although other video formats will be introduced. This course is a program requirement and should be taken in the third semester of study. Prerequisites: Video Techniques (BMT 120",Introduction To Video Editing
Broadcast Media Technology (Bmt),BMT 235,3 credits,"This is an advanced hands-on course in Non-Linear editing fundamentals and concepts. Students enhance their knowledge of editing by learning how to mark and edit clips, color correct sequences, create transitions, apply filters and effects, add titles, work with audio and much more. Students develop projects by using Final Cut Studio. Upon completion of this class, students may become a Certified Apple Pro by taking the certification exam at an Apple Authorized Training Center. Prerequisites: Introduction to Video Editing (BMT 230)",Advanced Video Editing
Broadcast Media Technology (Bmt),BMT 298,3 credits,"This course is designed for students to gain hands-on experience a resume builder and an opportunity to network. Students will develop a resume, cover letter and references prior to placement. Students will meet with the Internship Coordinator and an Assigned Internship Faculty Advisor from their program of study during the course of the semester to monitor the interns",Bmt Internship I
Broadcast Media Technology (Bmt),BMT 299,3 credits,"This course is designed for students to gain hands-on experience in a work setting related to their career interest. Students must develop a resume, cover letter and references prior to placement. Students are required to complete 150 hours (minimum of 10 hours per week), assigned readings, a mid-term project and a final project that will include an oral presentation. Students currently employed in their program of study may be eligible to combine the internship with their employment. Prerequisites: Students must be enrolled in a degree or certificate program, completion of English Composition 101, three-courses in their major and possess a minimum 2.0 GPA. Prerequisites: BMT Internship I (BMT 298)",Bmt Internship Ii
Business (Bus),BUS 101,3 Credits,"The fundamental principles of accounting theory are the focus of this course. Emphasis is placed on understanding the accounting cycle, journals, ledgers, adjusting and closing entries, working papers, and financial statements. Prerequisites: English Comp I (ENG 101) Concurrent; Introductory Algebra (MAT 088)",Principles Of Accounting I
Business (Bus),BUS 102,3 credits,"As a continuation of BUS101, this course focuses on accounting theory in relation to the specific needs of corporations and partnerships. Students will explore problems relating to assets and liabilities, payroll systems, methods of computing dividends, and corporate financial statements. Prerequisites: Principles of Accounting I (BUS 101)",Principles Of Accounting Ii
Business (Bus),BUS 103,3 credits,"This course introduces students to the basic concepts of federal income taxation for individuals, partnerships, and corporations, with an emphasis on determining taxable income, allowable deductions, gains and losses. Students will practice preparing sample tax returns. Prerequisites: English Composition I (ENG 101); College Mathematics (MAT 101)",Income Taxes
Business (Bus),BUS 104,3 credits,"Students enrolled in this course will learn to use accounting software packages to set up and maintain computerized accounting records. Topics covered will include customer, vendor and employee records, accounts payable, accounts receivable, banking, payroll, job costing, and financial statement preparation. Integration of accounting data with word processing and spreadsheet applications will also be introduced. Prerequisites:Principles of Accounting I (BUS 101",Computerized Accounting
Business (Bus),BUS 106,3 credits,"This community service course is provided jointly by Roxbury Community College and the Internal Revenue Service. Students who participate in the program are trained to prepare tax returns. Upon successful completion of the training, students will prepare tax returns free of charge for students and the community. Students normally must work a minimum of 5 hours per week from January to April. Prerequisites: Income Taxes (BUS 103)",Volunteer Income Tax Asstance
Business (Bus),BUS 107,3 credits,"Students enrolled in this course will examine the specific applications of mathematics in a business environment. Topics include fundamental business principles, percentages, markups, simple and compound interest, depreciation, insurance, payroll taxes, analysis of business graphs, and understanding linear equations. Prerequisites: English Comp I (ENG 101); Introductory Algebra (MAT 088)",Business Math
Business (Bus),BUS 130,3 credits,"This course introduces students to various business topics, including the global environment of business; management, marketing, and accounting issues; and business organizations. It also explores career opportunities in business. Prerequisites: Developmental Reading and Writing 2 (ENG 091); ESL Level D",Introduction To Business
Business (Bus),BUS 131,3 credits,"Management principles, including communication, motivation, and group dynamics are the focus of this course. Through readings, lectures, classroom discussions, and case studies, students will explore problem-solving strategies for effective planning, cost control, and overall organization in a management environment. Prerequisites: English Composition I (ENG 101)",Management I
Business (Bus),BUS 132,3 credits,"As a continuation of Management I, this course examines the supervisory role of the business manager. Students will explore issues such as leadership and motivation, planning, problem solving, staffing, communication, styles of supervision, organizing, and controlling. Through classroom lectures, readings, homework assignments, and case studies, students will learn that successful management is based on both an understanding of business principles and the ability to supervise others. Prerequisites: Management I (BUS 131",Management Ii
Business (Bus),BUS 141,3 credits,"Students enrolled in this course will examine marketing as seen from the perspective of the individual business and the larger society, with an emphasis on the integral relationship between consumer attitudes and marketing activities. Prerequisites: Management I (BUS 131)",Introduction To Marketing
