category,dates,description,title,avail seats,section,section status,days,times,credits,requires consent,instructor,room
Arts Administration,01/18/2017 - 05/08/2017," 4 sem. hrs. Prereq.: Consent of instructor. Offers firsthand experience of the rich cultural landscape of a major urban center in a four-week on-site experiential program that focuses on the following questions: What new relationships are emerging between art markets, philanthropy, public funding, and nonprofit arts organizations? What is the nature of 'the public trust' in the art world of the 21st century? How do arts organizations balance tradition and change in a multicultural and global environment? What roles do arts administrators play in linking the arts to their audiences? Combines readings, research activities, guest speakers, and visits to events and programs. Staff. ", AADM 236 - Arts Administration Institute/Nyc ,12,01,Open,N/A,N/A,4.00,Yes,Heather Hole,N/A
Arts Administration,01/23/2017 - 05/08/2017," 8 sem. hrs. Prereq.: AADM 143 or consent. Provides an integrated seminar and internship experience for students in arts administration. Combines academic and experiential learning in a professional context. Includes internships in museums, galleries, or concert halls; theater companies; or other institutions involved in the arts. Reading and writing assignments explore issues related to nonprofit arts management. Staff. ", AADM 390 - Seminar: Arts in the Community ,10,01,Open,Monday,11:00AM-01:50PM,8.00,No,Heather Hole,N/A
Art,01/18/2017 - 05/03/2017," 4 sem. hrs. Introduces basic pictorial concepts and techniques while investigating or interpreting sources such as portraits, landscapes, still life, and interior and architectural space. Uses slides, critique, and homework assignments to expand on skills developed in class and provide insight into the cultural and historical context in which stylistic development takes place. Requires no previous studio experience. Kiely, Lynch. ", ART 111 - Draw What You See ,2,02,Open,Wednesday,10:00AM-12:50PM,4.00,No,Colleen M. Kiely,N/A
Art,01/19/2017 - 05/04/2017," 4 sem. hrs. Investigates the role of color in perception and in pictorial structure through studio work in painting and mixed media. Uses slides to depict works of art from different periods and cultures and considers the relation between the cultural and historical situation of the artistic and stylistic development. Requires no previous experience,although ART 111 is strongly encouraged.Kiely,Lynch. ", ART 112 - Introduction to Studio Art - Color ,5,02,Open,Thursday,11:00AM-01:50PM,4.00,No,Wendy Seller,N/A
Art,01/24/2017 - 05/02/2017," 4 sem. hrs. Introduces students to hands-on experience with the design and creation of small abstract and representational sculpture. Explores a broad range of natural and manufactured materials (such as found and neglected objects, cardboard, wire, and plaster) to create mobiles, wall hangings, reliefs, and freestanding sculptures. Requires no previous studio experience. Lynch, Bresler, Staff. ", ART 119 - Introduction to Sculpture ,0,01,Clsd,Tuesday,03:00PM-05:50PM,4.00,No,Bridget Lynch,N/A
Art,01/24/2017 - 05/02/2017," 4 sem. hrs. Like a poem, the art photograph often uses metaphor, allusion, rhythm, and profound attention to detail. In this course, students will learn to create artful photographs, and acquire the skills and craft of using a 35mm camera, developing black and white film, and making prints in the darkroom. Bresler, Sills. ", ART 138 - The Poetry of Photography ,0,01,Wlst,Tuesday,11:00AM-01:50PM,4.00,No,Jaclyn R. Kain,N/A
Art,01/22/2017 - 05/07/2017, , ART 138L - Photography Lab ,6,03,Open,Sunday,04:00PM-06:50PM,0.00,No,TBA,N/A
Art,01/18/2017 - 05/03/2017," 4 sem. hrs. Teaches the art and craft of contemporary color photography with emphasis on using the medium as a means of personal expression. Hands-on demonstrations demystify how manual and digital cameras work, Students learn effective Photoshop and Camera Raw techniques to produce color prints with impact. Bresler. ", ART 139 - Color Photography CSI ,6,02,Open,Wednesday,12:00PM-02:50PM,4.00,No,Edith Bresler,N/A
Art,01/22/2017 - 05/07/2017, , ART 139L - CSI Digital Lab ,8,05,Open,Sunday,04:00PM-06:50PM,0.00,No,TBA,N/A
Art,01/19/2017 - 05/08/2017," 4 sem. hrs. Introduces paintings, sculpture, and architecture from Europe and the United States made between 1600 and the present. Explores the careers of key artists and interprets objects from this period, considering such issues as obstacles and opportunities for women artists at various periods, changing views on what art should accomplish in society, and the development of unconventional approaches to art during this century. Uses the collections of the Museum of Fine Arts and the Gardner Museum to study the work of such important artists as Rembrandt, Goya, Cassatt, Monet, O'Keeffe, Warhol, and others. Hanni. ", ART 142 - Baroque to the 20th Century ,7,01,Open,"Monday, Thursday",12:30PM-01:50PM,4.00,No,Kimberlee Cloutier-Blazzard,N/A
