Category,Credits,Id,Description,Title
Accounting Courses (ACC), 3 ,3010,"Prereq: MAT 1500 or MAT 1800 or equiv., each with minimum grade of C. Theory and practical applications of financial accounting principles; preparation and evaluation of financial statements and the items that make up these statements using real-world examples. Use of the language of business to communicate financial information about business enterprises. (T)",Introduction to Financial Accounting
Accounting Courses (ACC), 3 ,3020,"Prereq: ACC 3010 or equiv. and ECO 2010, or equiv.; and MAT 1500 or MAT 1800 or equiv.; each with minimum grade of C. Basic terms and concepts used in managerial accounting: cost behavior; cost-volume profit analysis; business planning and accounting controls; and how accounting information in managerial decision making. (T)",Introduction to Managerial Accounting
Accounting Courses (ACC), 0 ,3050,"Prereq: ACC 3010 with minimum grade of C. Offered for S and U grades only. History and development of the profession; dramatic changes since the mid-twentieth century. Career opportunities and professional designations. How to prepare for a successful career in accounting. (F,W)",The Profession of Accounting
Accounting Courses (ACC), 0 ,4500,Offered for S and U grades only. No credit toward degree. Open only to School of Business Administration students; others by consent of instructor. Must be elected by Professional Development Co-operative Program students during work semester. Opportunity to put theory into practice on the job. Students will normally be assigned to cooperating business organizations for internship periods of one semester. (T),(MGT 4500) Business Administration Co-op Assignment
Accounting Courses (ACC), 3 ,5000,"Prereq: ACC 3010 and ACC 3020, each with grade of C or above. Open to School of Business Administration upper division students only; others by consent of chairperson. Offered for undergraduate credit only. Tools and techniques necessary to build dynamic cash flow models. Advanced discussion on the relationship between the financial statements, modeling techniques to professionally present forecasts, valuations and transactional analyses. Successful completion of introductory courses in accounting and finance is required for this class and a basic working knowledge of Microsoft Excel is strongly recommended. Replaces ACC 5000 for finance majors. . (F,W)",Applied Financial Anaylsis
Accounting Courses (ACC), 3 ,5100,"Prereq: ACC 3010 and ACC 3020, each with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Accounting principles for preparing complete set of financial statements; how accounting meets the needs of various external users. Theories and practices of external financing of external financial reporting for organizations. Valuation and accounting for assets: cash, receivables, and inventory. (T)",Intermediate Financial Accounting I
Accounting Courses (ACC), 3 ,5110,"Prereq: ACC 5100 with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Continuation of ACC 5100. Theories and practices underlying external financial reporting for organizations. Valuation of and accounting for specific items on the balance sheet, including property, plant and equipment, intangible assets, current and long-term liabilities, stockholders' equity, investments, income measurement concepts and issues. (T)",Intermediate Financial Accounting II
Accounting Courses (ACC), 3 ,5115,"Prereq: ACC 5110 with minimum grade of C. Open only to upper division business administration students; others by consent of chairperson. Offered for undergraduate credit only. Continuation of ACC 5110. Complex financial reporting topics, such as securities, earnings per share, income taxes, pensions, leases, changes and errors, disclosure issues. Cases used to integrate concepts studied in managerial, systems, and tax accounting courses in this capstone course. (T)",Intermediate Financial Accounting III
Accounting Courses (ACC), 3 ,5120,Prereq: ACC 5115 or equiv. with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Theories and practical applications of financial accounting: as learned in intermediate accounting courses; focus on accounting of consolidation and combination of business entities; accounting for foreign currency transactions; and interim and segment reporting. (F),Advanced Accounting
Accounting Courses (ACC), 3 ,5130,"Prereq: ACC 5100 and ISM 3630, both with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Implementation of accounting systems in a computer-intensive business environment; methods for developing and documenting Accounting Information Systems (AIS); hands-on use of enterprise resource planning software package for accounting functions. (T)",Accounting Systems Design and Control
Accounting Courses (ACC), 3 ,5160,"Prereq: ACC 3020 with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Focus on management accountant as integral part of the management team. Analyzing, managing, and accounting for costs; relevance of cost management in manufacturing firms and other types of organization; solving homework problems by application of concepts covered in textbook and lectures. (F,W)",Managerial Accounting
Accounting Courses (ACC), 3 ,5170,"Prereq: ACC 3010 and ACC 3020 with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Introduction to taxation, tax research, and tax planning. Fundamental elements of individual taxation; how individuals and business owners benefit from an understanding of tax law. (F,W)",Introduction to Taxation: Individuals
Accounting Courses (ACC), 3 ,5180,"Prereq: ACC 5110 with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Theory and practical applications of accounting for governmental and not-for-profit organizations, and how they differ from for-profit entities. Technical accounting issues and management and regulatory issues for both state and local governments and for other governmental and non-governmental not-for-profit entities. Course is preparation for governmental and not-for-profit portion of the CPA examination. (T)",Governmental and Not-for-Profit Accounting
Accounting Courses (ACC), 3 ,5200,"Prereq: ACC 3010, ACC 3020, and ISM 3630, each with grade of C or above. Offered for undergraduate credit only. Open only to School of Business Administration upper division students; others by consent of chairperson. Enterprise Planning (ERP) systems comprise the primary software packages for the accounting, operational, and managerial activities of an organization. Role and function of ERP systems within organizations; analysis of major business processes and their implementation in ERP software; hands-on use of ERP packages for transaction processing and decision support; use of ERP for customer relationship management, supply chain management, and electronic commerce. Material Fee as indicated in Schedule of Classes. (F,W)",ERP Systems: Concepts and Practice
Accounting Courses (ACC), 3 ,5250,"Offered for undergraduate credit only. Prereq: ACC 3010 and ACC 3020 each with minimum grade of C. Theory of internal auditing and how it relates to the CPA audit and the audit committee. (F,W)",Introduction to Internal Auditing
Accounting Courses (ACC), 3 ,5270,"Prereq: ACC 5170 with minimum grade of C. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Builds on basic U.S. tax concepts learned in ACC 5170. Taxation of corporations, S corporations, partnerships, estates and trusts. Accounting for income taxes on financial statements, taxation of corporate reorganizations and liquidations, basic multi-state and multi-national taxation principles, and transfer taxes and wealth planning. (F,S)",Introduction to Taxation: Business Entities
Accounting Courses (ACC), 3 ,5890,"Offered for S and U grades only. Offered for undergraduate credit only. Prereq: junior standing or above; 3.0 or above cumulative g.p.a.; successful completion of minimum 12 credits in business course work at Wayne State; written consent of department chairperson; approved internship application form must be on file in Office of Student Services prior to registration. Student performs assigned tasks and responsibilities in a professional manner under supervision of host-employer for minimum 160 hours during the semester, abiding by the rules and regulations established by the employer and expected of all employees; student must satisfactorily complete all course requirements outlined in the internship program for the School of Business Administration (T)",Internship in Accounting or Tax Practice
Accounting Courses (ACC), 1-3 (Max 6) ,5990,Prereq: 3.0 g.p.a. or above; senior status or higher; successful completion of minimum of 12 credits in business course work at Wayne State; written consent of department chairperson; approved directed study proposal form must be on file in Office of Student Services prior to registration. Offered for undergraduate credit only. Open only to School of Business Administration upper division students; others by consent of chairperson. Only three credits maximum in any academic semester. Research conducted under supervision of full-time faculty member in an area of special interest to student and faculty member. (T),Directed Study in Accounting
Accounting Courses (ACC), 3 ,5996,"Prereq: ISM 3400 or ISM 4400; prereq. or coreq: ACC 5115. No credit after ACC 5140. Open only to School of Business Administration upper division students; others by consent of chairperson. Offered for undergraduate credit only. Principles and procedures used by public accountants in examination of financial statements of companies and other organizations; issuing an independent opinion; professional standards and responsibilities of the certified public accountant. (F,W)","Auditing, Assurance and Attestation"
African American Studies Courses (AFS), 3 ,1010,"An interdisciplinary approach to exploring several broad issues, topics, theories, concepts and perspectives which describe and explain the experiences of persons of African descent in America, the Continent, and the diaspora. (T)",Introduction to African American Studies
African American Studies Courses (AFS), 4 ,2010,"Core requirement for African American Studies majors. Examination of the historical, traditional and aesthetic bases of a variety of cultural forms -- language, literature, music -- of the Black experience. (T)",African American Culture: Historical and Aesthetic Roots
African American Studies Courses (AFS), 4 ,2210,"Core requirement for African American Studies majors. Survey of the Black intellectual and political tradition from the United States, the Caribbean and Africa. (T)",(SS) Black Social and Political Thought
African American Studies Courses (AFS), 3 ,2390,"Prereq: grade of C or better in ENG 1020, ENG 1050, former ISP 1510, or equiv. (equiv. means AP credit, IB, CLEP, or transfer credit with grade of C or better). Introduction to major themes and some major writers of African-American literature, emphasizing modern works. Reading and writing about representative poetry, fiction, essays, and plays. (T)",(ENG 2390) (IC) Introduction to African-American Literature: Literature and Writing
African American Studies Courses (AFS), 3 ,2600,Examination of the nature and practice of racism in American society from its historical foundations to its contemporary institutional forms. (B),Race and Racism in America
African American Studies Courses (AFS), 3-4 ,3140,African origins of African Americans; transition from freedom to slavery; status of African Americans under slavery. (F),(HIS 3140) African American History I: 1400-1865
African American Studies Courses (AFS), 3-4 ,3150,African American history from Reconstruction through the Civil Rights Movement. (W),(HIS 3150) African American History II: Reconstruction to 1968
African American Studies Courses (AFS), 3-4 ,3155,"History of African Americans' struggle against persistent and stubborn racism, efforts to achieve full citizenship, and legal and economic justice after 1968. (Y)",(HIS 3155) African American History III: from 1968 to the present
African American Studies Courses (AFS), 4 ,3160,Historical experience of African Americans in urban areas; impact of their communities on urban development from 1860 to contemporary times. (B),Black Urban History
African American Studies Courses (AFS), 3-4 ,3170,"Exploration of complicated relationship between ethnic and racial diversity and the making of America. Using historical, literary, and cultural readings and sources to examine key themes: Who was the ""Other""? What is an ""American""? (B)",(HIS 3170) Ethnicity and Race in American Life
African American Studies Courses (AFS), 4 ,3180,"Prereq: AFS 2210 recommended. Survey of mass or popular Black movements with emphasis on their political and cultural impact, historical continuity and organization. (Y)",Black Social Movements
African American Studies Courses (AFS), 4 ,3200,"Historical and contemporary portrayals of African American people in narrative and documentary film. Emphasis on filmic approaches to race relations, cinematic elaboration of racial stereotypes, and legitimation functions of film. (Y)",The African-American Film Experience
African American Studies Courses (AFS), 3 ,3230,Historically-driven survey of the Civil Rights Movement; focus on African Americans' efforts to enjoy the full benefits of American citizenship. (Y),(HIS 3230) The Civil Rights Movement
African American Studies Courses (AFS), 3 ,3250,"Survey of political, economic and cultural life of the Caribbean. Relationship of the Caribbean to U.S. and world political and cultural developments. Interdisciplinary approach: historical, comparative, thematic issues. (Y)",(FC) Politics and Culture in Anglophone Caribbean
African American Studies Courses (AFS), 4 ,3360,"Survey course. Slave and free workers during antebellum period; skill trades, sharecropping, menial labor, coal mining during Reconstruction; labor struggles and job discrimination in the twentieth century. (F,W)",Black Workers in American History
African American Studies Courses (AFS), 4 ,3420,Interplay of Pan Africanism as a cultural and socio-political movement in world politics from its origins as a concept to organizing practice worldwide. (Y),Pan Africanism: Politics of the Black Diaspora
African American Studies Courses (AFS), 4 ,3610,"Prereq: upper division standing. Humanistic aspects, history, socio-cultural institutions of African cultures; theory and methods, comparativist perspectives. (Y)",(FC) Interdisciplinary Perspectives on Foreign Culture: The Africans
African American Studies Courses (AFS), 3 ,3750,"Prereq: one 1000-level Art History course. Introduction to African American art from the colonial period to the present, with emphasis on the U.S. and some attention to South and Central America and the Caribbean. (Y)",(A H 3750) African American Art
African American Studies Courses (AFS), 3 ,3860,"Prereq: upper division standing or criminal justice majors or minors. Survey of race and class in the criminal justice system: police, courts, jails and prisons. Socio-economic environment of offenders, and effects of criminal justice process on their ability to function positively within that environment. (T)","Race, Class and the Criminal Justice System"
African American Studies Courses (AFS), 3 ,4040,"Issues and topics related to the study of communication behaviors and patterns in gender, race, social class, and sexual orientation within the United States. (Y)",(COM 4040) Diversity in Interpersonal Communication
African American Studies Courses (AFS), 4 ,4240,"Historical overview of African Americans in radio and television with emphasis on three areas of study: news and documentary; entertainment and advertising; and ownership, employment and access. (Y)",African Americans in Television
African American Studies Courses (AFS), 3 ,4245,Examination of the intersection between race and sport in the United States in order to better understand the role of sport in socialization and culture constructions. (B),Blacks and Sport in the United States
African American Studies Courses (AFS), 4 ,5030,Nature and texture of Black politics; various perspectives on politics by Blacks; the impact of Blacks on American politics. (Y),(P S 5030) African American Politics
African American Studies Courses (AFS), 3 ,5110,"Social, cultural, artistic and economic development of Black women in America; topics include: racism, sexism, marriage, motherhood, feminism, and the welfare system. (Y)",Black Women in America
African American Studies Courses (AFS), 3 ,5220,"Critical study of significant Black dramatists of the American stage: Willis Richardson, Marita Bonner, Randolph Edmonds, Langston Hughes, Alice Childress, Lorraine Hansberry, Ed Bullins, Amiri Baraka, Ntozake Shange, and August Wilson. (Y)",(THR 5220) Black Dramatic Literature and Performance
African American Studies Courses (AFS), 4 ,5241,"Offered for undergraduate credit only. Rise, expansion, and demise of slavery in the United States. Study of the five generations of Americans who lived with this institution; the unique imprint of slavery on American history and collective memory. (Y)",(HIS 5241) American Slavery
African American Studies Courses (AFS), 4 ,5261,"Exploration of the re-presentations of African American history that are seen, read, and interpreted by a popular audience; investigation of U.S. collective memory of African American history. (F)","(HIS 5261) African Americans, History and Memory"
African American Studies Courses (AFS), 3-4 ,5310,"Topics to be announced in Schedule of Classes; topics may include: Caribbean politics, African development, male-female relationships, Negritude. (T)",Special Topics in African American Studies
African American Studies Courses (AFS), 3 ,5320,Prereq: upper division standing. Offered for undergraduate credit only. History of Black labor from the colonial period to the present . Topics include the development of a dual racial labor system in America; Black workers in the development and evolution of the American labor movement; and Black responses to white working class behavior. (I),Black Labor History
African American Studies Courses (AFS), 3 ,5570,"Theoretical orientations applied analytically to enhance an understanding of the patterned structures of privilege in society which are based on race. Inequality, segregation-desegregation, pluralism; social structural frameworks; some attention to social-psychological aspects of topics such as prejudice and racism. (I)",(SOC 5570) Race Relations in Urban Society
African American Studies Courses (AFS), 4 ,5580,Prereq: upper division or graduate standing. In-depth examination of the African American experience with law in the U.S.; historical development of the U.S. Constitution; legal barriers to equality and the influence of race on the law; use of law as a political instrument; participation of Blacks in the legal process; comparisons with other countries. (B),Law and the African American Experience
African American Studies Courses (AFS), 4 ,5700,"Prereq: upper division standing. Methodological approaches to and theories of Black behavior and personality development. Topics include: race and pathology, life-span and psycho-sexual development, personality formation, social and environmental stress and adaptation. (T)",The Psychology of African Americans
African American Studies Courses (AFS), 4 ,5740,"Current ethnic (racial, linguistic, religious, and cultural) conflicts regionally, nationally and internationally. Introduction to concepts and analytic perspectives for understanding ethnicity as a factor in nation building and maintenance. (Y)",(P S 5740) Ethnicity: The Politics of Conflict and Cooperation
African American Studies Courses (AFS), 3-8 ,5991,"Prereq: written consent of instructor. Open only to undergraduate majors. Offered for undergraduate credit only. Field placement in community-based, human services, and civic organizations and governmental agencies. (Y)",Field Work in the Black Community
