description,title,prerequisites,schedule_type,levels,department
"This studio course focuses on techniques of visualization and representation (freehand drawing skills and model making) as they pertain to beginning design. Students develop fundamental design skills through orthographic drawing (plan, section & elevation), perspective drawing, model making and diagramming.",ARCH 1000 - STUDIO 01,,"Laboratory, Lecture",Undergraduate,Architecture
"This studio course studies general concepts of space, form, material and structure by using techniques in architectural representation and visualization, through a series of design problems.",ARCH 1500 - STUDIO 02,ARCH1000 - Studio 01.,"Laboratory, Lecture",Undergraduate,Architecture
This studio course explores conceptual design through a series of elemental architectural exercises. Topics pertinent to the student's concentration are addressed.,ARCH 2000 - STUDIO 03,ARCH1500 - Studio 02,Laboratory,Undergraduate,Architecture
"This lecture course surveys world architecture, urbanism and landscapes from the ancient world through roughly 1600 CE. Lectures shall discuss architecture as a form of cultural expression and in relation to the artistic, political, religious, scientific, technological, and social developments.",ARCH 2100 - HISTORY/THEORY 01,,Lecture,Undergraduate,Architecture
"This lecture and workshop-based course focuses on site design skills and concepts, in urban and non-urban environments. The course also includes principles of building siting/orientation and an introduction to passive environmental building strategies.",ARCH 2200 - TECHNOLOGY 01,,Lecture,Undergraduate,Architecture
Students entering into the first semester of the junior year are required to register for the Intern Development Program (IDP) of the National Council of Architectural Registration Boards (NCARB) and establish an NCARB file number before the end of the semester.,ARCH 2222 - IDP REGISTRATION,enrollement in BSA program,Individualized Study,Undergraduate,Architecture
"This studio course explores architectural design through a series of problems increasing in scale, complexity and length throughout the semester. Topics pertient to the Urbanism concentration are addressed.",ARCH 2500 - STUDIO 04 (URBANISM),"ARCH2000 - Studio 03 and ARCH2200 - Technology I, and Urbanism concentration status",Laboratory,Undergraduate,Architecture
"This studio course explores architectural design through a series of problems increasing in scale, complexity and length throughout the semester. Topics pertient to the Urbanism concentration are addressed.",ARCH 2525 - STUDIO 04 (EMERGING TECH),"ARCH2000 - Studio 03, and ARCH2200 - Technology I, and Emerging Technoloogies concentration status",Laboratory,Undergraduate,Architecture
"This studio course explores architectural design through a series of problems increasing in scale, complexity and length throughout the semester. Topics pertient to the Urbanism concentration are addressed.",ARCH 2550 - STUDIO 04 (ADAPTIVE INTERVENTI,"ARCH2000 - Studio 03, and ARCH2200 - Technology I, and Adaptive Interventions concentration status",Laboratory,Undergraduate,Architecture
"This lecture course surveys world architecture, urbanism and landscapes from 1700 CE to the present day. Lectures discuss architecture as a form of cultural expression and in relation to artistic, political, religious, scientific, technological and social developments.",ARCH 2600 - HISTORY/THEORY 02,,Lecture,Undergraduate,Architecture
"This lecture and workshop-based course focuses on architectural methods for achieving visual, thermal and acoustical comfort in buildings using climate, form, orientation, materials and structure.",ARCH 2700 - TECHNOLOGY 02,"ARCH2200 - Technology 01, and sophomore status in BSA",Lecture,Undergraduate,Architecture
This course investigates a topic of special interest to faculty and students that is outside regular course offerings.,ARCH 2990 - INDEPENDENT STUDY ARCHITECTURE,Consent of department head and instructor.,"Hybrid, Individualized Study, Laboratory, Lecture, Online",Undergraduate,Architecture
