category,credits,description,title
Academic Support,0,Prepare for a range of required MTEL exams. Includes a review and introduction to test-taking strategies and crafting of an individual MTEL plan.,"ACD 300/500: MTEL Strategies: Plan, Prepare, Pass"
Academic Support,0,"Reviews content included in the Early Childhood Subject Test (MTEL). Includes test taking strategies and available test preparation resources. Topics include test-taking strategies, Child Development, Science, Math, Social Studies, Language Arts and Reading.",ACD 306/506: MTEL preparationEarly Childhood Education review
Academic Support,0,"This course reviews Reading, the subject matters related to the Communication & Literacy Subject Test in the Massachusetts Tests for Educator Licensure (MTEL).",ACD 313/513: MTEL Prep: Communication and Literacy Skills Reading Subtest
Academic Support,0,"This course reviews Writing, the subject matters related to the Communication & Literacy Subject Test in the Massachusetts Tests for Educator Licensure (MTEL).",ACD 314/514: MTEL Prep: Communication and Literacy Skills Writing Subtest
Academic Support,0,"Reviews Reading and Writing, the subject matters related to the Communication and Literacy Subject Test in the Massachusetts Tests for Educator Licensure (MTEL).",ACD 315/515: MTEL Preparation Communication and Literacy Skills Test
Academic Support,0,"This course reviews the subject matters related to the General Curriculum I: Multi-Subject Test in the Massachusetts Tests for Educator Licensure (MTEL). Topics include: English Language Arts - Literature, English Language Arts - Structure and Writing Process, U.S. and Massachusetts History, U.S. Government, World History/Geography, Physical Science, Earth and Space Science, and Life Science. $15 cancellation fee for students who register but do not attend.",ACD 316/516: MTEL Prep GC
Academic Support,0,Reviews Mathematics content and test objectives related to the General Curriculum: Mathematics subtest (MTEL). Typically meets for 3 sessions; Student should enroll in this course based on the suggestion of instructor and performance in the math sequence. Otherwise students should enroll in ACD 318/518 for preparation for the General Curriculum: Mathematics Subject subtest.,ACD317/517: MTEL Preparation: General Curriculum: Mathematics Sub Test 
Academic Support,0,Reviews Mathematics content and test objectives related to the General Curriculum: Mathematics Subject (MTEL).,ACD 318/518 : MTEL Preparation: General Curriculum: Mathematics Sub Test
Academic Support,0,"Designed to review the mathematical concepts that may be assessed on the General Curriculum: Mathematics subtest MTEL. Covers number theory, geometry and measurement, probability and statistics, numbers and operations, functions and algebra, and open response problems.",ACD 320/520: MTEL Preparation: Intensive Math Content Review
Academic Support,0,"This intensive MTEL Preparation module is designed to support students in developing a deep understanding of the Foundations of Reading Test, which includes Foundations of Reading Development, Development of Reading Comprehension, and Reading Assessment and Instruction. Students will understand the requirements of and draft sample open responses that integrate knowledge and understanding, analyze multiple choice questions, and implement strategies to ensure success on the test. Homework and additional resources will be provided and students will be invited to subsequent workshops to fine tune misconceptions and gain additional practice prior to taking the test. Due to the nature of this course, all students MUST attend the full-day session BEFORE attending a workshop. $15 cancellation fee for students who register but do not attend.",ACD 340/540: MTEL Prep: Foundations of Reading
Academic Support,0,"Designed to help graduate students develop the writing skills they need to succeed in both their academic and professional lives. Re-views fundamentals like grammar, sentence structure, idea development, and organization while teaching specific writing strategies for graduate school assignments. Introduces best practices for re-search and citation.",ACD 501: Building a Foundation for Graduate Writing
Academic Support,0,"Reviews the subject matter included in the Massachusetts Tests for Educator Licensure Reading Specialist test. Topics include introduction and test-taking strategies, reading development, assessment, reading instruction, roles of the reading specialist. Enrollment is limited to students enrolled in the masters program in Teacher of Reading. Prerequisite: RDG 618. Corequisite: RES 722 and RDP 609.",ACD 507: MTEL PreparationReading Specialist Subject Review
American Studies,4,"Delves into the world of Black Widows and Demon Lovers. Using empirical research, case studies, and drama, course separates fact from fiction to examine the motivations, forms and conditions under which women behave violently. Focus areas include: gender and violence, recruitment and suicide bombers. General Education: Fulfills Ethics & Social Justice AND Perspectives on Diversity. Introductory.",AST 135: Bombs and Bombshells
American Studies,4,"Introduction to a multicultural analysis of media theory, content, and effects. Explores how racial and racist perceptions of people of color shape cultural norms, attitudes, and practices. Covers a wide range of media forms such as Hip-Hop, advertisements, movies, and reality TV. General Education: Self and Society and Perspectives on Diversity. Introductory.",AST 140: Media and Race in American Society
American Studies,4,In this seminar learn how to learn. Introduction to the skills and attitudes of critical inquiry. Learn and practice these skills and attitudes by using them in the study of an American Leader such as Eleanor Roosevelt. General Education: Critical Thinking and Self and Society. Introductory.,AST 145: American Leaders: A Critical Inquiry
American Studies,4,"Analyzes institutional development of American national government, Massachusetts politics, emphasizing the presidency, Congress, and the Supreme Court. Topics include interaction of the three branches of government, the history of politics in the United States, political parties, and interest groups. Focuses on current events and public policy issues. Introductory.",AST 150: Introduction to American Government
