Category,Id,Description,Title
AE,2550,"Cat I This course introduces the ambient atmospheric and space environments encountered by aerospace vehicles.  Topics include: the sun and solar activity; the solar wind; planetary magnetospheres; planetary atmospheres; radiation environments; galactic cosmic rays; meteoroids; and space debris.    Recommended background: mechanics (PH1110 / 1111 or equivalent), electromagnetism (PH 1120 / 1121 or equivalent), and ordinary differential equations (MA 2051 or equivalent).",ATMOSPHERIC AND SPACE ENVIRONMENTS
AE,2712,"This course introduces the basic concepts of stress analysis and extensively covers mechanics of aerospace structures under bending loads. Topics include: Three-dimensional stress and strain, stress transformation and Mohr?s circle, basic constitutive relationships, statically determinate and indeterminate one-dimensional problems, thermal stresses, and stress distributions and deflections of structural elements under bending loads. The laboratory component of this course will introduce the students to basic constitutive behavior of isotropic and anisotropic composites materials. ",INTRODUCTION TO AEROSPACE STRUCTURES
AE,2713,"Cat. I  An introductory course that covers the fundamentals of space flight, spacecraft trajectory analysis and mission design. Topics studied: orbital mechanics; geocentric orbits and trajectories; interplanetary transfers; ambient space environments for geocentric orbits and interplanetary transfers; introduction to spacecraft and mission design.   Recommended background: dynamics (ES 2503, PH 2201 or equivalent).",ASTRONAUTICS
AE,3410,"Cat. I  In this course, students are introduced to various compressibility phenomena such as compression (shock) and expansion waves. Conservation laws and thermodynamic principles are applied to the description of flows in which compressibility effects are significant. One-dimensional models are applied to analysis of flow in variable area ducts, normal and oblique shock waves, expansion waves, and flows with friction and heat addition. Numerous applications from engineering are investigated including supersonic inlets, rocket nozzles, supersonic wind tunnels, gas delivery systems, and afterburning jet engines.  Recommended background: thermodynamics (ES 3001, CH 3510 or equivalent), fluid dynamics (ES 3004 or equivalent).",COMPRESSIBLE FLUID DYNAMICS
AE,3602,"Cat. I  This course covers inviscid and viscous incompressible fluid dynamics. Fundamental topics presented include: fluid kinematics and deformation; integral conservation laws of mass, momentum and energy for finite systems and control volumes; differential conservation laws of mass, momentum and energy; the Navier-Stokes equations. Applications will be considered from the following topics: hydrostatics; Bernoulli?s equation; the streamfunction and the velocity potential; incompressible, inviscid, irrotational (potential) flows; incompressible boundary layer flows; viscous incompressible steady internal and external flows; and dimensional analysis.  Recommended background: thermodynamics (ES 3001, CH 3510 or equivalent).",INCOMPRESSIBLE FLUIDS
AE,3703,"Cat. I  The course introduces the mathematical modeling and control of dynamical systems found in aerospace and mechanical engineering applications. Topics include: introduction to feedback control analysis and synthesis of linear dynamic systems; transient response analysis of first and second order systems (thermal, pneumatic, hydraulic, and mechanical); introduction to state-space modeling and representation of control systems; linearization of nonlinear systems; stability analysis using Routh?s criterion and Lyapunov methods; system analysis using frequency response methods; introduction to the design of controlers in time and frequency domain. The analysis and design will be accomplished with Matlab/Simulink? software.   Recommended background: ordinary differential equations (MA 2051 or equivalent), dynamics (ES 2503, PH 2201, PH 2202 or equivalent), fluid dynamics (ES3004, AE/ME 3602 or equivalent), electricity and magnetism (PH 1120 or PH 1121 or equivalent)",INTRODUCTION TO CONTROL OF DYNAMICAL SYSTEMS
AE,3711,"Cat. I  This course introduces students to the aerodynamics of airfoils, wings, and aircraft in the subsonic and supersonic regimes. Topics covered include: prediction of aerodynamic forces (lift, drag) and moments, dynamic similarity, experimental techniques in aerodynamics, Kutta-Joukowski theorem, circulation, thin airfoil theory, panel methods, finite wing theory, subsonic compressible flow over airfoils, linearized supersonic flow, and viscous flow over airfoils.   Recommended background: incompressible fluid dynamics (AE/ME 3602 or equivalent).",AERODYNAMICS
AE,3712,"This course provides an overview of theoretical and practical aspects of mechanics of structures relevant to aerospace applications under different loading conditions. It begins with an overview of energy methods used in mechanics of aerospace structures. Applied topics include general torsion of solid circular and noncircular cross sections, torsion of thin-walled multi-celled members, flexural shear flow in and shear center of thin walled multi-celled members, buckling and stability of columns, and aerospace structures under combined loading. The laboratory component of this course will provide students with testing and measurement experience related to determination of shear center and the behavior of structures undergoing buckling.      Recommended background: Introductory level aerospace structures (AE 2712 or equivalent.) ",AEROSPACE STRUCTURES
AE,3901,"A course designed to develop analytical and experimental skills in modern engineering measurement methods, based on electronic instrumentation and computer-based data acquisition systems. The lectures are concerned with the engineering analysis and design as well as the principles of instrumentation, whereas the laboratory periods afford the student an opportunity to use modern devices in actual experiments.       Lecture topics include: review of engineering fundamentals and, among others, discussions of standards, measurement and sensing devices, experiment planning, data acquisition, analysis of experimental data, and report writing. Laboratory experiments address both mechanical and thermal systems and instrumentation in either traditional mechanical engineering (heat transfer, flow measurement/visualization, force/torque/strain measurement, motion/vibration measurement) or materials engineering (temperature and pressure measurements in materials processing, measurement of strain and position in mechanical testing of materials). Each year students will be notified which type of experiments will be used in each term offering. Students may also consult with their academic advisor, the Mechanical Engineering Department Office or the Aerospace Engineering Program Office.      Recommended background: mathematics (MA 2051), thermo-fluids (ES 3001, ES 3003, ES 3004 or equivalent), mechanics (ES 2501, ES 2502, ES 2503 or equivalent), materials (ES 2001 or equivalent).  ",ENGINEERING EXPERIMENTATION
AE,4710,"Cat. I  This course provides a study of open-cycle and closed-cycle gas turbines. Topics covered include: thermodynamic cycles and fluid dynamics of airbreathing gas turbines (turbojets, turbofans, turboprops), ramjets, and scramjets; thermodynamic cycles and fluid dynamics of closed-cycle gas turbines. Performance of specific engine components such as inlets, combustors, nozzles, as well as axial compressors and turbines will be addressed.   Recommended background: compressible fluid dynamics (AE/ME 3410 or equivalent).",GAS TURBINES FOR PROPULSION AND POWER GENERATION
AE,4712,"Cat. I This course introduces the analysis of vibrations of flexible bodies encountered as elements of aircraft and space structures. Topics include: modal analysis for determining structural response to forced vibrations; vibrations of strings and rods; free and forced vibrations of beams and plates.          Recommended background: ordinary differential equations (MA 2051 or equivalent), dynamics (ES2503, PH 2201, PH2202 or equivalent), aerospace structures (AE/ME 3712 or equivalent).  ",STRUCTURAL DYNAMICS
AE,4713,"Cat. I The course covers broad topics in spacecraft attitude dynamics, stability and control. The course includes a review of particle and two-body dynamics and introduction to rigid body dynamics. Orbital and attitude maneuvers are presented. Attitude control devices and momentum exchange techniques such as spinners, dual spinners, gravity gradient, and geomagnetic torques are presented. Attitude sensors/actuators are presented and the attitude control problem is introduced. Gyroscopic instruments are introduced and demonstrated in the laboratory. Open-loop stability analysis for a variety of equilibrium conditions is discussed. Control using momentum exchange and mass expulsion (thrusters) devices is discussed.   Recommended background: astronautics (ME 2713 or equivalent), dynamics (ES 2503, PH 2201 or equivalent).",SPACECRAFT DYNAMICS AND CONTROL
